FeatureID,estimate,stderror,df,tvalue,lower,upper,pvalue,padj,Name,Formula,Annotation_level,use_Sirius_class,env_sig
FT_12.663_535.15166,-0.6834873796726966,0.19897826903907304,26.075982393249298,-3.434985051249397,-1.0924350726853256,-0.27453968666006756,0.0019944905778850287,0.02712507185923639,no name,C18H32O18,L3.1,yes,moisture
FT_12.806_421.06605,-0.3824050909081461,0.1168664177709984,25.197500818540703,-3.2721554934410237,-0.6230003605986967,-0.1418098212175955,0.003091221625636692,0.0360348120931363,no name,C12H22O14S,L3.1,yes,moisture
FT_12.842_443.14080,-0.5163559291761034,0.14389357435954808,25.440213037367865,-3.588457173812922,-0.8124504878962113,-0.22026137045599548,0.0013864358245848302,0.02175637755502349,Tetracycline,C22H24N2O8,L2.1,no,moisture
FT_13.009_565.10152,-0.9137310791307682,0.16774815755252823,26.23834478027783,-5.447040924098644,-1.2583899753021353,-0.5690721829594013,1.0068866063057423e-5,4.2141893026170795e-4,no name,C17H30N2O15S2,L3.2,yes,moisture
FT_13.222_411.11466,-0.8542229748520759,0.11049329224616877,25.39098147811052,-7.730993958881654,-1.0816106216822536,-0.6268353280218981,3.922389706498576e-8,6.6518559618925555e-6,"(2R,3R,4R,5R)-5-[[(2S,3R,4R,5R)-3,4-dihydroxy-5-[[(2S,3R,4R,5R)-3,4,5-trihydroxyoxolan-2-yl]methoxy]oxolan-2-yl]methoxy]-3,4-dihydroxyoxolane-2-carbaldehyde",C15H24O13,L2.2,no,moisture
FT_13.273_529.05022,-0.9829875591722798,0.293202749927399,25.21846368926745,-3.352586424976167,-1.5865847873859424,-0.37939033095861696,0.0025302997023198496,0.033302008985370925,no name,C17H24O15P2,L3.2,yes,moisture
FT_13.282_335.07517,-1.5738883569691768,0.25774855240386463,25.754787273809363,-6.106293681537582,-2.10394371002661,-1.0438330039117436,1.9487206071284064e-6,1.445596377651618e-4,no name,C10H17N4O7P,L3.2,yes,moisture
FT_13.293_649.21933,-0.9407849480943058,0.1205355974280537,25.544529178989844,-7.8050382473596605,-1.1887646060914188,-0.6928052900971927,3.1648324044591617e-8,6.6518559618925555e-6,Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)Glc,C24H42O20,L2.3,no,moisture
FT_13.321_503.12848,-1.051382888784436,0.152617145739488,25.26344881580063,-6.889022093095025,-1.3655376668924823,-0.7372281106763897,3.025450780521663e-7,4.1146130615094616e-5,alpha-D-ManAc-(1-P-6)-alpha-D-ManAc,C16H29N2O14P,L2.3,no,moisture
FT_13.751_341.10903,-0.4957169131899921,0.153160338905742,26.447553050451848,-3.2365879883242257,-0.8102834098596394,-0.18115041652034486,0.0032451897187386293,0.036778816812371135,alpha-alpha-Trehalose,C12H22O11,L2.1,no,moisture
FT_13.830_274.10456,-2.159891128335297,0.37760143094862625,25.996596322164187,-5.720028981111453,-2.9360669316972667,-1.3837153249733274,5.08658779577679e-6,2.5941597758461627e-4,gamma-Glutamylglutamine,C10H17N3O6,L2.3,no,moisture
FT_14.029_549.16735,-0.3808216984567252,0.0937258479809515,25.434178444846065,-4.063144870496365,-0.5736867486063777,-0.18795664830707265,4.101008896349287e-4,0.009149722130378327,melitose,C18H32O16,L2.2,no,moisture
FT_14.029_566.15742,-0.5729525947433869,0.1305457429187547,25.727705246077743,-4.388902938795673,-0.8414315045063048,-0.30447368498046895,1.7197860825628067e-4,0.0045269207850685495,no name,NA,L4,no,moisture
FT_14.029_617.15437,-0.3190071674446334,0.08600887088235157,25.37848057977727,-3.709003085053771,-0.4960118976404718,-0.14200243724879505,0.001023070704573099,0.018148384672427145,no name,C23H30N4O16,L3.2,yes,moisture
FT_14.029_621.09731,-0.2762997594844963,0.08225107677088032,25.42684619602156,-3.3592236154447015,-0.44555494580528787,-0.10704457316370475,0.00247024017256298,0.033044524275596586,no name,NA,L4,no,moisture
FT_14.186_421.06603,-0.458949863735289,0.1012245943672508,27.999999999029935,-4.533975824789999,-0.666299045762816,-0.25160068170776206,9.905034360517404e-5,0.0029935214956230377,"[(2S,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxolan-2-yl]methyl hydrogen sulfate",C12H22O14S,L2.3,no,moisture
FT_14.255_549.16737,-0.8112814786156101,0.09979128615159351,25.495055745783578,-8.129782768639616,-1.0166033124396234,-0.6059596447915967,1.5121941250629822e-8,6.169752030256967e-6,melitose,C18H32O16,L2.2,no,moisture
FT_14.255_566.15747,-1.415645040200293,0.17300198992977395,25.905238733916537,-8.182825184698398,-1.7713190449870302,-1.0599710354135556,1.1872386590901504e-8,6.169752030256967e-6,no name,NA,L4,no,moisture
FT_14.370_421.06602,-0.525616239899329,0.13143635703181125,25.641219279427517,-3.999017104316999,-0.795971648365909,-0.2552608314327492,4.7837651411183457e-4,0.010272506197769921,2-sulfotrehalose,C12H22O14S,L2.3,no,moisture
FT_14.398_446.09757,-0.36942870641525716,0.10676506837833924,25.686267658494728,-3.4602020307440533,-0.589017979402212,-0.14983943342830233,0.0018988699976104741,0.02671513651810598,no name,C14H25NO13S,L3.1,yes,moisture
FT_14.571_333.05952,-0.8484967022431618,0.14902568710447828,25.816165866779585,-5.693627177496597,-1.1549295886652708,-0.5420638158210526,5.585965910853852e-6,2.681263637209849e-4,poly(galactosylglycerol phosphate),C9H19O11P,L2.2,no,moisture
FT_14.691_446.09756,-0.5716262428178751,0.13247160616093162,25.604407835470802,-4.315085016206729,-0.8441304329070969,-0.29912205272865333,2.1050027804495232e-4,0.0053677570901462844,no name,C19H13N9O5,L3.2,yes,moisture
FT_15.006_711.21974,-0.6990440272366203,0.11726219400960801,25.46635533308323,-5.961375984312074,-0.9403259833060735,-0.457762071167167,2.954056285987164e-6,1.8542384072042504e-4,no name,C32H40O18,L3.2,yes,moisture
FT_15.006_763.18139,-0.6228368504248221,0.11387451775263226,25.566625549465662,-5.469501541844509,-0.857102533538092,-0.3885711673115521,1.0328895349551666e-5,4.2141893026170795e-4,no name,NA,L4,no,moisture
FT_15.009_711.21976,-0.6990440272366203,0.11726219400960801,25.46635533308323,-5.961375984312074,-0.9403259833060735,-0.457762071167167,2.954056285987164e-6,1.8542384072042504e-4,Isomaltotetraose,C24H42O21,L2.3,no,moisture
FT_15.112_462.10202,-1.0118738365432862,0.1610431990808502,25.529200187185182,-6.283244758664317,-1.3432002423606182,-0.6805474307259542,1.291845976227807e-6,1.1712736851132117e-4,"[3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] (3,4,5,6-tetrahydroxyoxan-2-yl)methyl hydrogen phosphate",C14H26NO14P,L2.3,no,moisture
FT_15.255_647.13409,-2.227293434361552,0.29051453813532074,25.820717697271146,-7.666719361645461,-2.82465648446746,-1.6299303842556438,4.075892133512596e-8,6.6518559618925555e-6,no name,C21H33N2O19P,L3.2,yes,moisture
FT_16.041_873.27215,-0.7804104516038162,0.1555519500266118,25.66216326107165,-5.017040618714865,-1.1003570563733711,-0.4604638468342611,3.326123625079694e-5,0.001130882032527096,Laminaripentaose,C30H52O26,L2.3,no,moisture
FT_2.062_279.08747,-0.3141034895265102,0.09549962734085342,25.479395531140657,-3.2890546096627653,-0.5106011806253675,-0.11760579842765284,0.002936519664425932,0.0360348120931363,no name,C14H16O6,L3.1,yes,moisture
FT_2.065_193.05064,-0.24259007091459867,0.07504953750525628,25.32627049457993,-3.232399278911056,-0.39705658209705663,-0.0881235597321407,0.0033956919318401564,0.03795732351207627,Isoferulic acid,C10H10O4,L2.1,no,moisture
FT_2.134_309.06182,-0.3749069147248759,0.11297162766453786,25.895373994740144,-3.3185935484450875,-0.6071690932924236,-0.1426447361573282,0.0026902567853154236,0.03483098648356257,no name,C14H14O8,L3.1,yes,moisture
FT_2.182_269.10307,-0.3456288341193284,0.09910281341606524,25.74836833869724,-3.4875784269440286,-0.549434519787839,-0.14182314845081784,0.0017677078301213474,0.026409696348919022,no name,C13H18O6,L3.1,yes,moisture
FT_2.225_247.05869,0.1589560455945977,0.04582714027610601,26.179637071571598,3.468600585524129,0.0647884582207485,0.25312363296844687,0.001824519237924429,0.026409696348919022,no name,C10H17O3PS,L3.2,yes,moisture
FT_2.240_171.02745,0.5053765669908479,0.13753808563678532,25.327773506397634,3.6744481693998665,0.2222973384725267,0.7884557955091691,0.0011199150006231775,0.018650013071602304,no name,C5H6N3O4,L3.2,yes,moisture
FT_2.241_202.96511,0.3932794915524785,0.11318537709065524,25.491773516579755,3.47464930242255,0.1603976565930379,0.626161326511919,0.0018447949655494905,0.026409696348919022,no name,C6H6O4P2,L3.2,yes,moisture
FT_2.417_167.03494,-0.33323938682247745,0.08425829973172269,25.273311129912898,-3.954974024915139,-0.506677497524016,-0.1598012761209389,5.474632188000186e-4,0.01145461503950808,Vanillic acid,C8H8O4,L2.1,no,moisture
FT_2.474_209.04539,-0.298000780515261,0.09672032240368605,25.40171835025214,-3.0810565257576528,-0.4970403990808211,-0.09896116194970098,0.0049094947131591874,0.04735730852240667,no name,C10H10O5,L3.1,no,moisture
FT_2.623_269.06672,-0.32595039015319527,0.08478882275204962,25.25534490940766,-3.8442613020631424,-0.5004867591987966,-0.15141402110759397,7.283328969373335e-4,0.014495601070752784,no name,C12H14O7,L3.1,yes,moisture
FT_2.626_183.02982,-0.31800507117637966,0.09742065200227525,25.357390784232678,-3.2642470014361296,-0.5185033680596975,-0.11750677429306175,0.003135518322680316,0.03603637959587518,3-O-methylgallate,C8H8O5,L2.3,no,moisture
FT_2.740_113.02448,-0.2867038873960805,0.09364150446557469,27.999999999512816,-3.0617180814462577,-0.4785198139119653,-0.09488796088019569,0.00481921208816153,0.04735730852240667,Glutaric anhydride,C5H6O3,L2.1,no,moisture
