FeatureID,Name,Formula,Annotation_level,use_Sirius_class
FT_1.297_239.05629,no name,C12 H16 O S2,L4.3,na
FT_1.306_495.13006,no name,C26 H24 O10,L4.3,yes
FT_1.297_333.09825,no name,C17 H18 O7,L4.1,yes
FT_1.298_355.15506,no name,C21 H24 O5,L4.1,yes
FT_1.298_395.15023,no name,C23 H24 O6,L4.1,yes
FT_1.300_219.02975,no name,C11 H8 O5,L4.1,yes
FT_1.300_263.05622,8-Acetyl-7-deuteriooxy-4-methylchromen-2-one,C12 H10 O4,L3.3,na
FT_1.312_479.17134,no name,C27 H28 O8,L4.3,yes
FT_1.301_263.05623,no name,C13 H12 O6,L4.1,yes
FT_1.301_383.18654,no name,C23 H28 O5,L4.1,yes
FT_1.303_563.22840,no name,C38 H33 N2 O P,L4.3,na
FT_1.313_415.24926,no name,C25 H36 O5,L4.3,yes
FT_1.315_429.22855,no name,C25 H34 O6,L4.3,yes
FT_1.306_505.18822,no name,no formula,L5,na
FT_1.307_247.06142,no name,C13 H12 O5,L4.1,yes
FT_1.308_327.16034,no name,C20 H24 O4,L4.1,yes
FT_1.308_343.15527,no name,C20 H24 O5,L4.1,yes
FT_1.310_427.21304,no name,C25 H32 O6,L4.1,yes
FT_1.312_273.13465,no name,C14 H26 O S2,L4.3,na
FT_1.322_431.13506,no name,C22 H24 O9,L4.3,yes
FT_1.322_445.11422,no name,C22 H22 O10,L4.3,yes
FT_1.314_537.21302,no name,C35 H30 N4 S,L4.3,na
FT_1.315_319.15528,no name,C18 H24 O5,L4.1,yes
FT_1.328_437.12457,no name,C24 H22 O8,L4.3,yes
FT_1.320_271.15503,no name,C14 H24 O5,L4.3,na
FT_1.321_457.11446,no name,no formula,L5,na
FT_1.321_467.17130,no name,C26 H28 O8,L4.1,yes
FT_1.332_517.20787,no name,C27 H34 O10,L4.3,yes
FT_1.334_485.18203,no name,C26 H30 O9,L4.3,yes
FT_1.327_325.14472,no name,C20 H22 O4,L4.1,yes
FT_1.336_383.15002,no name,C22 H24 O6,L4.3,yes
FT_1.330_425.08821,no name,C22 H18 O9,L4.1,yes
FT_1.332_169.08703,no name,C9 H14 O3,L4.1,yes
FT_1.338_513.21351,no name,C28 H34 O9,L4.3,yes
FT_1.339_481.11549,no name,C25 H22 O10,L4.3,yes
FT_1.335_199.09780,no name,C10 H16 O4,L4.1,yes
FT_1.342_499.12488,no name,C25 H24 O11,L4.3,yes
FT_1.337_381.13431,no name,C22 H22 O6,L4.1,yes
FT_1.337_533.18236,no name,no formula,L5,na
FT_1.343_411.18174,no name,C24 H28 O6,L4.3,yes
FT_1.348_343.11892,no name,C19 H20 O6,L4.3,yes
FT_1.340_713.26015,no name,no formula,L5,na
FT_1.341_319.11885,mycophenolate,C17 H20 O6,L3.3,yes
FT_1.341_427.17662,no name,C24 H28 O7,L4.1,yes
FT_1.342_181.08697,dihydroconiferyl alcohol,C10 H14 O3,L3.3,yes
FT_1.349_525.21326,no name,C29 H34 O9,L4.3,yes
FT_1.343_409.12946,Rotenalone,C23 H22 O7,L3.3,na
FT_1.352_411.10878,no name,C22 H20 O8,L4.3,yes
FT_1.343_429.11941,no name,C22 H22 O9,L4.1,yes
FT_1.344_469.25995,no name,C28 H38 O6,L4.1,yes
FT_1.344_495.16626,no name,C27 H28 O9,L4.1,yes
FT_1.356_421.09320,no name,C23 H18 O8,L4.3,yes
FT_1.349_255.16010,no name,C14 H24 O4,L4.3,na
FT_1.349_483.20246,no name,C27 H32 O8,L4.1,yes
FT_1.356_447.23908,no name,C22 H40 O7 S,L4.3,yes
FT_1.357_465.19223,no name,C27 H30 O7,L4.3,yes
FT_1.356_395.11391,no name,C22 H20 O7,L4.1,yes
FT_1.362_495.20089,no name,C28 H32 O8,L4.3,yes
FT_1.363_443.09955,no name,C22 H20 O10,L4.3,yes
FT_1.365_483.16688,no name,C26 H28 O9,L4.3,yes
FT_1.361_399.25398,no name,C25 H36 O4,L4.3,na
FT_1.366_453.15591,no name,C25 H26 O8,L4.3,yes
FT_1.369_497.25494,no name,C29 H38 O7,L4.3,yes
FT_1.373_477.15607,no name,C27 H26 O8,L4.3,yes
FT_1.364_485.29102,no name,C29 H42 O6,L4.1,yes
FT_1.378_487.27051,no name,C28 H40 O7,L4.3,yes
FT_1.366_331.11917,no name,C18 H20 O6,L4.1,yes
FT_1.379_411.21792,no name,C25 H32 O5,L4.3,yes
FT_1.367_295.08240,no name,C14 H16 O7,L4.1,yes
FT_1.368_179.07147,no name,C10 H12 O3,L4.1,yes
FT_1.368_425.12456,villosinol,C23 H22 O8,L3.3,na
FT_1.368_451.13998,no name,C25 H24 O8,L4.1,yes
FT_1.369_265.07184,no name,C14 H10 N4 O2,L4.3,na
FT_1.369_403.21305,no name,C23 H32 O6,L4.1,yes
FT_1.380_439.14010,no name,C24 H24 O8,L4.3,yes
FT_1.370_399.18175,no name,C23 H28 O6,L4.1,yes
FT_1.381_485.25517,no name,C28 H38 O7,L4.3,yes
FT_1.376_291.08756,Lachnone C,C15 H16 O6,L3.3,yes
FT_1.376_291.08757,no name,C14 H14 O4,L4.1,yes
FT_1.376_401.12467,no name,C21 H22 O8,L4.1,yes
FT_1.377_701.25927,no name,C39 H42 O12,L4.3,na
FT_1.393_371.15016,no name,C21 H24 O6,L4.3,yes
FT_1.394_423.14534,no name,C24 H24 O7,L4.3,yes
FT_1.395_399.21801,no name,C24 H32 O5,L4.3,yes
FT_1.402_237.07710,no name,C12 H14 O5,L4.3,yes
FT_1.382_321.09818,no name,C15 H16 O5,L4.1,na
FT_1.382_371.18649,no name,C22 H28 O5,L4.1,yes
FT_1.382_453.19203,no name,C26 H30 O7,L4.1,yes
FT_1.384_321.09819,no name,C16 H18 O7,L4.1,yes
FT_1.384_483.23888,no name,C28 H36 O7,L4.1,yes
FT_1.385_209.08175,no name,C11 H14 O4,L4.1,yes
FT_1.385_401.19722,no name,C23 H30 O6,L4.1,yes
FT_1.386_285.11333,no name,C17 H18 O4,L4.1,yes
FT_1.389_473.29108,no name,C28 H42 O6,L4.1,yes
FT_1.393_249.11310,no name,C14 H18 O4,L4.1,yes
FT_1.403_469.15056,no name,C25 H26 O9,L4.3,yes
FT_1.407_395.15012,no name,C23 H24 O6,L4.3,yes
FT_1.408_481.15076,no name,C26 H26 O9,L4.3,yes
FT_1.397_233.08536,no name,C10 H18 O4 S,L4.1,yes
FT_1.400_181.08699,no name,C10 H14 O3,L4.1,yes
FT_1.400_399.07233,no name,C17 H16 N6 O2 S2,L4.3,na
FT_1.413_417.22861,no name,C24 H34 O6,L4.3,yes
FT_1.419_265.10821,no name,C14 H18 O5,L4.3,yes
FT_1.406_481.18639,no name,C27 H30 O8,L4.1,yes
FT_1.407_281.06671,no name,C13 H14 O7,L4.1,yes
FT_1.407_297.07691,no name,C17 H14 O5,L4.1,yes
FT_1.422_415.24924,no name,C25 H36 O5,L4.3,yes
FT_1.407_413.19720,no name,C24 H30 O6,L4.1,yes
FT_1.407_481.11420,no name,C25 H22 O10,L4.1,yes
FT_1.408_427.14016,no name,C23 H24 O8,L4.1,yes
FT_1.433_431.13514,no name,C22 H24 O9,L4.3,yes
FT_1.409_385.16590,no name,C22 H26 O6,L4.1,yes
FT_1.434_279.12386,no name,C15 H20 O5,L4.3,yes
FT_1.413_429.22854,no name,C25 H34 O6,L4.1,yes
FT_1.414_271.15491,no name,C15 H28 S2,L4.3,na
FT_1.414_343.15521,no name,C20 H24 O5,L4.1,yes
FT_1.415_529.17154,no name,C27 H30 O11,L4.3,na
FT_1.417_183.10271,no name,C10 H16 O3,L4.1,yes
FT_1.437_293.10315,no name,C15 H18 O6,L4.3,yes
FT_1.439_411.10866,no name,C22 H20 O8,L4.3,yes
FT_1.422_515.26523,no name,C29 H40 O8,L4.1,yes
FT_1.424_501.28601,no name,C29 H42 O7,L4.1,yes
FT_1.425_409.09319,no name,C25 H19 N2 P S,L4.3,na
FT_1.428_405.22860,no name,C23 H34 O6,L4.1,yes
FT_1.432_215.09294,no name,no formula,L5,na
FT_1.432_535.19797,no name,no formula,L5,na
FT_1.432_729.25478,no name,no formula,L5,na
FT_1.439_497.14564,no name,C26 H26 O10,L4.3,yes
FT_1.446_497.18158,no name,C27 H30 O9,L4.3,yes
FT_1.451_441.11948,no name,C19 H26 O5 P2,L4.3,yes
FT_1.439_265.07184,no name,C13 H14 O6,L4.1,yes
FT_1.455_221.04562,no name,C11 H10 O5,L4.3,yes
FT_1.458_253.14459,no name,C13 H20 O2,L4.3,yes
FT_1.442_309.09816,no name,C15 H18 O7,L4.1,yes
FT_1.443_267.12388,no name,C14 H20 O5,L4.1,yes
FT_1.443_375.07241,Decarboxythamnolic acid,C18 H16 O9,L3.3,na
FT_1.444_491.26514,no name,C21 H41 N4 O7 P,L4.3,na
FT_1.466_411.14501,no name,C23 H24 O7,L4.3,yes
FT_1.447_413.16100,no name,C23 H26 O7,L4.1,yes
FT_1.475_337.09346,no name,C15 H16 O6,L4.3,yes
FT_1.453_209.04535,Methyl Haematommate,C10 H10 O5,L3.3,na
FT_1.453_441.11948,no name,C23 H22 O9,L4.1,yes
FT_1.475_487.16140,no name,C26 H24 N4 O6,L4.3,yes
FT_1.478_425.12450,no name,C23 H22 O8,L4.3,yes
FT_1.463_401.19727,no name,C23 H30 O6,L4.1,yes
FT_1.479_269.13945,no name,C14 H22 O5,L4.3,yes
FT_1.471_363.10885,no name,C18 H20 O8,L4.1,yes
FT_1.475_233.04552,no name,C12 H10 O5,L4.1,yes
FT_1.482_405.22850,no name,C23 H34 O6,L4.3,yes
FT_1.488_519.26008,no name,C28 H40 O9,L4.3,yes
FT_1.477_371.18639,no name,C22 H28 O5,L4.1,yes
FT_1.511_200.97954,no name,C7 H7 O3 P S,L4.3,yes
FT_1.478_471.13017,no name,no formula,L5,na
FT_1.530_293.06676,no name,C14 H14 O7,L4.3,yes
FT_1.533_415.06742,no name,C20 H16 O10,L4.3,yes
FT_1.484_399.14526,no name,no formula,L5,na
FT_1.486_305.10319,no name,C16 H18 O6,L4.1,yes
FT_1.486_443.09873,no name,C22 H20 O10,L4.1,yes
FT_1.487_253.07182,no name,C12 H14 O6,L4.1,yes
FT_1.569_325.09309,no name,C15 H18 O8,L4.3,yes
FT_1.491_485.18187,no name,C26 H30 O9,L4.1,yes
FT_1.492_501.17691,no name,C26 H30 O10,L4.1,yes
FT_1.494_433.22349,no name,C24 H34 O7,L4.1,yes
FT_1.579_513.17674,no name,C27 H30 O10,L4.3,yes
FT_1.512_253.10815,no name,C13 H18 O5,L4.1,yes
FT_1.524_429.19235,no name,C24 H30 O7,L4.1,yes
FT_1.594_387.14517,no name,C21 H24 O7,L4.3,yes
FT_1.533_281.06672,no name,C13 H14 O7,L4.1,yes
FT_1.613_283.11874,no name,C14 H20 O6,L4.3,yes
FT_1.537_265.07183,no name,C13 H14 O6,L4.1,yes
FT_1.538_265.07183,no name,C12 H12 O4,L4.1,yes
FT_1.539_527.15592,no name,C17 H39 O12 P3,L4.3,na
FT_1.545_511.16110,no name,C38 H25 P,L4.3,na
FT_1.551_309.13447,no name,C16 H22 O6,L4.1,yes
FT_1.553_223.09739,no name,C12 H16 O4,L4.1,yes
FT_1.554_225.04041,caffeate,C9 H8 O4,L3.3,na
FT_1.558_419.20800,no name,C23 H32 O7,L4.1,yes
FT_1.566_295.08239,no name,C14 H16 O7,L4.1,yes
FT_1.568_277.10820,no name,C15 H18 O5,L4.1,yes
FT_1.569_321.09815,no name,C16 H18 O7,L4.1,yes
FT_1.624_297.06180,no name,C14 H10 N4 O4,L4.3,yes
FT_1.571_225.04041,no name,C10 H10 O6,L4.1,yes
FT_1.579_387.18133,no name,C22 H28 O6,L4.1,yes
FT_1.646_513.14088,no name,C25 H24 O9,L4.3,yes
FT_1.583_321.13449,no name,C17 H22 O6,L4.1,yes
FT_1.583_545.20286,no name,C26 H37 N4 O3 P3,L4.3,na
FT_1.585_195.06629,no name,C10 H12 O4,L4.1,yes
FT_1.585_235.09746,no name,C13 H16 O4,L4.1,yes
FT_1.589_237.07700,no name,C12 H14 O5,L4.1,yes
FT_1.593_277.07172,no name,C14 H14 O6,L4.1,yes
FT_1.654_313.09314,no name,C14 H18 O8,L4.3,yes
FT_1.601_209.04540,no name,C10 H10 O5,L4.1,yes
FT_1.603_397.05673,no name,C20 H14 O9,L4.1,yes
FT_1.603_473.10916,no name,C15 H28 N2 O11 P2,L4.3,na
FT_1.606_263.09265,no name,C14 H16 O5,L4.1,yes
FT_1.611_247.06140,no name,C13 H12 O5,L4.1,yes
FT_1.612_267.05121,no name,C12 H12 O7,L4.1,yes
FT_1.613_267.05109,no name,C11 H10 O5,L4.1,yes
FT_1.657_255.08748,no name,C11 H14 O4,L4.3,yes
FT_1.613_449.21858,no name,C24 H34 O8,L4.1,yes
FT_1.618_351.10866,no name,C17 H20 O8,L4.1,yes
FT_1.621_225.07685,no name,C11 H14 O5,L4.1,yes
FT_1.623_323.07742,no name,C15 H16 O8,L4.1,yes
FT_1.659_257.10292,no name,C12 H18 O6,L4.3,yes
FT_1.634_303.12380,no name,C17 H20 O5,L4.1,yes
FT_1.659_295.11873,no name,C14 H18 O4,L4.3,yes
FT_1.647_421.22384,no name,C23 H34 O7,L4.1,yes
FT_1.650_239.05615,no name,C11 H12 O6,L4.1,yes
FT_1.652_219.02972,7-Hydroxycoumarin-4-acetic acid,C11 H8 O5,L3.3,na
FT_1.659_419.20802,no name,C23 H32 O7,L4.3,yes
FT_1.656_193.05069,no name,C10 H10 O4,L4.1,yes
FT_1.656_229.10770,no name,no formula,L5,na
FT_1.656_279.08746,no name,C14 H16 O6,L4.1,yes
FT_1.656_335.11393,no name,C17 H20 O7,L4.1,yes
FT_1.656_461.14579,no name,C28 H30 S3,L4.3,na
FT_1.661_469.11485,no name,C24 H22 O10,L4.3,yes
FT_1.662_429.19233,no name,C24 H30 O7,L4.3,yes
FT_1.659_279.08747,no name,C13 H14 O4,L4.1,yes
FT_1.664_363.10904,no name,C18 H20 O8,L4.3,yes
FT_1.664_447.20291,no name,C24 H32 O8,L4.3,yes
FT_1.660_307.08253,no name,C14 H14 O5,L4.1,yes
FT_1.660_543.18795,no name,C28 H32 O11,L4.3,na
FT_1.661_295.11875,no name,C15 H20 O6,L4.1,yes
FT_1.661_339.10889,no name,C13 H12 N10 O2,L4.3,na
FT_1.664_447.23921,no name,C25 H36 O7,L4.3,yes
FT_1.661_485.14584,no name,no formula,L5,na
FT_1.661_531.26078,no name,no formula,L5,na
FT_1.661_533.27608,no name,no formula,L5,na
FT_1.665_317.10293,no name,C17 H18 O6,L4.3,yes
FT_1.662_471.16685,no name,C27 H20 N8 O,L4.3,na
FT_1.663_267.12364,no name,C14 H20 O5,L4.1,yes
FT_1.663_307.08258,no name,C15 H16 O7,L4.1,yes
FT_1.663_309.09811,no name,C14 H16 O5,L4.1,yes
FT_1.663_431.20791,no name,no formula,L5,na
FT_1.663_445.22349,"[(2R,3R,4aR,7S,8R,8aR)-7'-formyl-3,4'-dihydroxy-6'-(hydroxymethyl)-4,4,7,8a-tetramethylspiro[2,3,4a,5,6,7-hexahydro-1H-naphthalene-8,2'-3H-1-benzofuran]-2-yl] acetate",C25 H34 O7,L3.3,na
FT_1.664_343.15524,"(1S,9R,10R)-3,4-dihydroxy-11,11-dimethyl-5-propan-2-yl-16-oxatetracyclo[7.5.2.01,10.02,7]hexadeca-2,4,6-triene-8,15-dione",C20 H24 O5,L3.3,na
FT_1.665_353.08835,no name,C16 H18 O9,L4.3,yes
FT_1.665_455.17188,no name,C25 H28 O8,L4.3,yes
FT_1.665_501.24932,no name,C28 H38 O8,L4.3,yes
FT_1.666_445.18754,no name,C24 H30 O8,L4.3,yes
FT_1.664_531.22338,no name,C20 H42 N2 O10 P2,L4.3,na
FT_1.665_311.11389,no name,C19 H22 P2,L4.3,na
FT_1.668_373.12969,no name,C20 H22 O7,L4.3,yes
FT_1.668_379.14023,no name,C16 H30 O6 P2,L4.3,yes
FT_1.665_377.12496,no name,C19 H22 O8,L4.3,na
FT_1.665_443.20801,no name,C25 H32 O7,L4.3,na
FT_1.665_449.21855,no name,C24 H34 O8,L4.1,yes
FT_1.668_401.16104,no name,C22 H26 O7,L4.3,yes
FT_1.668_415.10426,no name,C21 H20 O9,L4.3,yes
FT_1.665_515.19266,no name,C27 H32 O10,L4.3,na
FT_1.666_223.06103,no name,C11 H12 O5,L4.1,yes
FT_1.666_225.07686,no name,C10 H12 O3,L4.1,yes
FT_1.666_323.11403,no name,C15 H18 O5,L4.1,yes
FT_1.668_473.14544,no name,C24 H26 O10,L4.3,yes
FT_1.667_207.02984,no name,C10 H8 O5,L4.1,yes
FT_1.667_305.10312,no name,C16 H18 O6,L4.1,yes
FT_1.667_335.11389,no name,C16 H18 O5,L4.1,yes
FT_1.667_367.14004,no name,C19 H28 O3 S2,L4.3,na
FT_1.667_403.14010,no name,C21 H24 O8,L4.1,yes
FT_1.667_415.13977,no name,C19 H16 N10 O2,L4.3,na
FT_1.667_431.24411,no name,C25 H36 O6,L4.3,na
FT_1.667_471.13030,no name,no formula,L5,na
FT_1.667_487.16129,no name,C18 H33 O13 P,L4.3,na
FT_1.668_225.07690,no name,C11 H14 O5,L4.1,yes
FT_1.668_267.08740,"1-(2,4-Dimethoxyphenyl)butane-1,3-dione",C12 H14 O4,L3.3,na
FT_1.668_319.19177,no name,C19 H28 O4,L4.1,yes
FT_1.668_321.09816,no name,C15 H16 O5,L4.1,na
FT_1.668_361.12955,no name,C19 H22 O7,L4.1,na
FT_1.668_483.13005,no name,C25 H24 O10,L4.3,yes
FT_1.669_319.11869,no name,C17 H20 O6,L4.3,yes
FT_1.669_333.13436,no name,C18 H22 O6,L4.3,yes
FT_1.668_413.12507,no name,C25 H23 N2 P S,L4.3,na
FT_1.669_475.12491,no name,C22 H22 O9,L4.3,yes
FT_1.668_417.19239,no name,C23 H30 O7,L4.1,na
FT_1.668_443.17136,no name,no formula,L5,na
FT_1.668_457.18774,no name,C27 H22 N8,L4.3,na
FT_1.670_217.10742,no name,C10 H18 O5,L4.3,yes
FT_1.670_429.15601,no name,C23 H26 O8,L4.3,yes
FT_1.668_529.20881,no name,C22 H30 N10 O4 S,L4.3,na
FT_1.668_547.25517,no name,C40 H37 P,L4.3,na
FT_1.669_251.05608,"Cinnamic acid, p-hydroxy-, acetate",C11 H10 O4,L3.3,na
FT_1.669_283.15515,no name,C15 H24 O5,L4.1,na
FT_1.669_311.11388,no name,C14 H18 O5,L4.1,na
FT_1.670_459.20242,no name,C25 H32 O8,L4.3,yes
FT_1.670_475.12502,no name,C23 H24 O11,L4.3,yes
FT_1.669_365.16126,no name,no formula,L5,na
FT_1.669_401.12462,no name,no formula,L5,na
FT_1.669_405.19270,no name,C22 H30 O7,L4.3,na
FT_1.669_461.21802,no name,C17 H40 N2 O8 P2,L4.3,na
FT_1.669_473.21806,no name,C23 H34 N6 O S2,L4.3,na
FT_1.671_265.14448,no name,C15 H22 O4,L4.3,yes
FT_1.669_499.16165,no name,C31 H24 N4 O S,L4.3,na
FT_1.669_517.17239,no name,no formula,L5,na
FT_1.669_517.24449,no name,C28 H38 O9,L4.3,na
FT_1.669_519.25974,no name,C21 H45 O12 P,L4.3,na
FT_1.670_181.05059,"1-(2,3-Dihydroxy-4-methoxyphenyl)ethanone",C9 H10 O4,L3.3,na
FT_1.671_319.08282,no name,C16 H16 O7,L4.3,yes
FT_1.670_281.13935,no name,C15 H22 O5,L4.1,na
FT_1.670_331.11950,no name,C18 H20 O6,L4.1,na
FT_1.670_333.09818,no name,C17 H18 O7,L4.1,na
FT_1.670_347.15044,no name,C19 H24 O6,L4.1,na
FT_1.670_389.12457,no name,C12 H28 N2 O8 P2,L4.3,na
FT_1.670_391.14039,no name,C12 H30 N2 O8 P2,L4.3,na
FT_1.670_423.12996,no name,C20 H24 O10,L4.3,na
FT_1.671_447.16771,no name,C23 H28 O9,L4.3,yes
FT_1.672_319.08280,no name,C15 H14 O5,L4.3,yes
FT_1.670_471.13034,no name,C17 H18 N10 O2 S,L4.3,na
FT_1.672_379.17641,no name,C20 H28 O7,L4.3,yes
FT_1.671_251.05608,no name,C12 H12 O6,L4.1,na
FT_1.672_403.17678,no name,C22 H28 O7,L4.3,yes
FT_1.671_285.13465,no name,C14 H22 O6,L4.1,na
FT_1.672_417.15587,no name,C22 H26 O8,L4.3,yes
FT_1.671_363.14495,no name,C19 H24 O7,L4.1,na
FT_1.671_387.14538,no name,C21 H24 O7,L4.1,na
FT_1.671_391.14027,no name,C11 H28 N2 O6 P2,L4.3,na
FT_1.671_407.17142,no name,no formula,L5,na
FT_1.671_409.15084,no name,no formula,L5,na
FT_1.672_475.19772,no name,C25 H32 O9,L4.3,yes
FT_1.672_209.04538,no name,C9 H8 O3,L4.1,na
FT_1.672_215.09272,no name,C10 H16 O5,L4.1,na
FT_1.672_237.07704,no name,C12 H14 O5,L4.1,na
FT_1.672_297.13448,no name,C15 H22 O6,L4.1,na
FT_1.673_405.11934,no name,C19 H20 O7,L4.3,yes
FT_1.672_335.15020,no name,C18 H24 O6,L4.1,na
FT_1.674_463.19756,no name,C24 H32 O9,L4.3,yes
FT_1.674_469.15143,no name,C25 H26 O9,L4.3,yes
FT_1.675_467.22887,no name,C24 H36 O9,L4.3,yes
FT_1.672_435.20253,no name,C24 H28 N4 O4,L4.3,na
FT_1.672_443.13496,no name,C23 H24 O9,L4.3,na
FT_1.672_457.11489,no name,C16 H16 N10 O2 S,L4.3,na
FT_1.672_461.18210,no name,C16 H36 N2 O9 P2,L4.3,na
FT_1.682_311.07737,no name,C14 H16 O8,L4.3,yes
FT_1.673_235.06131,no name,C12 H12 O5,L4.1,na
FT_1.673_299.15064,no name,C16 H20 N4 O2,L4.3,na
FT_1.673_377.16086,no name,C20 H26 O7,L4.1,na
FT_1.673_405.11927,no name,no formula,L5,na
FT_1.700_283.11875,no name,C14 H20 O6,L4.3,yes
FT_1.673_473.18140,no name,no formula,L5,na
FT_1.673_531.18803,no name,C29 H24 N8 O3,L4.3,na
FT_1.674_339.14516,no name,no formula,L5,na
FT_1.674_395.13575,no name,no formula,L5,na
FT_1.707_319.05735,no name,C19 H12 O5,L4.3,yes
FT_1.818_379.01296,no name,C16 H12 O9 S,L4.3,yes
FT_1.674_487.19764,no name,C20 H28 N10 O3 S,L4.3,na
FT_1.674_515.15663,no name,C24 H24 N10 S2,L4.3,na
FT_1.674_527.15629,no name,no formula,L5,na
FT_1.675_207.06611,"1-(2,4-Dihydroxy-6-methoxyphenyl)but-2-en-1-one",C11 H12 O4,L3.3,na
FT_1.675_349.16541,no name,no formula,L5,na
FT_1.675_421.18688,no name,C26 H32 O P2,L4.3,na
FT_1.844_199.97823,no name,C7 H7 O3 P2,L4.3,yes
FT_1.676_277.07167,no name,C14 H14 O6,L4.1,na
FT_1.676_279.12381,no name,C15 H20 O5,L4.1,na
FT_1.676_437.21851,no name,C23 H34 O8,L4.3,na
FT_1.678_295.08240,no name,C13 H14 O5,L4.1,na
FT_1.680_217.05042,8-Acetyl-7-deuteriooxy-4-methylchromen-2-one,C12 H10 O4,L3.3,na
FT_1.681_237.04042,no name,C10 H8 O4,L4.1,na
FT_1.681_295.08240,no name,C14 H16 O7,L4.1,na
FT_1.845_216.98085,no name,C7 H8 O4 P2,L4.3,yes
FT_1.686_261.04054,no name,C13 H10 O6,L4.1,yes
FT_1.689_283.11872,no name,C13 H18 O4,L4.1,yes
FT_1.690_203.03465,no name,C11 H8 O4,L4.1,yes
FT_1.697_187.06115,no name,C8 H12 O5,L4.1,yes
FT_1.699_247.02483,no name,C12 H8 O6,L4.1,yes
FT_1.939_216.98085,no name,C7 H8 O4 P2,L4.3,yes
FT_1.978_315.10881,no name,C14 H20 O8,L4.3,yes
FT_1.709_189.07684,no name,C8 H14 O5,L4.1,yes
FT_1.731_323.07746,no name,C15 H16 O8,L4.1,yes
FT_1.750_211.06112,no name,C10 H12 O5,L4.1,yes
FT_1.783_295.04601,no name,C13 H12 O8,L4.1,yes
FT_1.807_279.08746,no name,C14 H16 O6,L4.1,yes
FT_1.979_256.97591,no name,C9 H8 O5 P2,L4.3,yes
FT_1.980_242.02817,no name,C6 H14 N O5 P S,L4.3,yes
FT_10.760_485.15131,no name,C18 H30 O15,L4.3,yes
FT_1.865_309.06179,no name,C14 H14 O8,L4.1,yes
FT_1.904_269.10308,no name,C13 H18 O6,L4.1,yes
FT_10.760_553.13878,no name,C21 H30 O17,L4.3,yes
FT_1.978_157.05057,Isopropylidene-succinic acid,C7 H10 O4,L3.3,na
FT_10.760_585.07635,no name,C21 H24 N4 O12 P2,L4.3,yes
FT_11.141_455.10204,no name,C17 H20 N4 O11,L4.3,yes
FT_11.147_441.03427,no name,C10 H16 N6 O10 P2,L4.3,yes
FT_10.165_266.08820,adenosine,C10 H13 N5 O4,L3.3,na
FT_10.165_329.08405,no name,C10 H14 N6 O7,L4.3,na
FT_10.211_401.13034,Hep-Hep,C14 H26 O13,L3.3,na
FT_10.755_259.12997,gamma-Glu-leu,C11 H20 N2 O5,L3.3,na
FT_12.208_441.03444,no name,C10 H16 N6 O10 P2,L4.3,yes
FT_12.209_729.23024,no name,C31 H40 O17,L4.3,yes
FT_12.211_444.03209,no name,C10 H17 N5 O11 P2,L4.3,yes
FT_10.768_401.13033,no name,C14 H26 O13,L4.1,yes
FT_10.775_157.06179,no name,C6 H10 N2 O3,L4.1,yes
FT_10.894_315.13125,N-acetyl-L-glutaminyl-L-glutamine,C12 H20 N4 O6,L3.3,yes
FT_12.212_455.10198,no name,C21 H20 N4 O6 S,L4.3,yes
FT_11.145_404.10479,no name,C12 H23 N O14,L4.3,na
FT_12.214_427.12053,no name,C14 H24 N2 O13,L4.3,yes
FT_11.151_459.04495,no name,no formula,L5,na
FT_11.478_245.11431,glutamylvaline,C10 H18 N2 O5,L3.3,na
FT_11.767_487.16695,solatriose,C18 H32 O15,L3.3,na
FT_11.780_225.06158,no name,C7 H14 O8,L4.1,yes
FT_11.815_173.00260,no name,C5 H6 N2 O3 S,L4.1,yes
FT_12.130_267.07223,inosinum,C10 H12 N4 O5,L3.3,na
FT_12.203_459.04506,no name,no formula,L5,na
FT_12.207_404.10475,no name,C12 H23 N O14,L4.3,na
FT_12.660_592.06935,no name,C17 H20 N7 O15 P,L4.3,yes
FT_12.662_557.13355,no name,C27 H26 O13,L4.3,yes
FT_12.663_366.99751,no name,C11 H14 O10 P2,L4.3,yes
FT_12.664_335.05996,no name,C12 H16 O11,L4.3,yes
FT_12.664_349.99486,no name,C7 H14 N O11 P S,L4.3,yes
FT_12.588_421.06592,Trehalose 2-sulfate,C12 H22 O14 S,L3.3,na
FT_12.667_369.99465,no name,C8 H20 O8 P S3,L4.3,yes
FT_12.668_696.21990,no name,C24 H39 N7 O15 S,L4.3,yes
FT_12.672_546.07685,no name,C21 H17 N5 O13,L4.3,yes
FT_12.663_535.15166,no name,C18 H32 O18,L4.1,yes
FT_12.664_267.07219,inosinum,C10 H12 N4 O5,L3.3,na
FT_12.684_542.13382,no name,C15 H25 N7 O15,L4.3,yes
FT_12.842_543.06597,no name,C18 H26 O15 P2,L4.3,yes
FT_12.933_530.08007,no name,C15 H26 N5 O10 P S2,L4.3,yes
FT_13.009_565.10152,no name,C17 H30 N2 O15 S2,L4.3,yes
FT_13.273_529.05022,no name,C17 H24 O15 P2,L4.3,yes
FT_12.676_474.14656,no name,C15 H27 N O13,L4.1,yes
FT_12.680_491.13674,no name,no formula,L5,na
FT_13.282_335.07517,no name,C10 H17 N4 O7 P,L4.3,yes
FT_12.806_421.06605,no name,C12 H22 O14 S,L4.1,yes
FT_13.283_429.12512,no name,C10 H23 N8 O9 P,L4.3,yes
