FeatureID,FeatureID_mgf,Name,Formula,Calc. MW,m/z,RT [min],Annotation MW,mzVault Best Match,mzCloud Best Match,KEGG ID,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: mzVault Search,# mzCloud Results,# mzVault Results,RP_S73,RP_S74,RP_S75,RP_S76,RP_S77,RP_S78,RP_S79,RP_S80,RP_S81,RP_S82,RP_S83,RP_S84,RP_S85,RP_S86,RP_S87,RP_S88,RP_S89,RP_S90,RP_S91,RP_S92,RP_S93,RP_S94,RP_S95,RP_S96,RP_S97,RP_S98,RP_S99,RP_S100,RP_S101,RP_S102,RP_S103,RP_S104
FT_17.486_483.20149,MW_482.19426@RT_17.486,NA,C21 H39 O6 P S2,482.19426,483.20149,17.486,482.19257,NA,NA,NA,Full match,No results,No results,0,0,122705585.295273,122151847.02545,92607451.6834472,297414765.461594,112219128.324473,276995139.064846,42594604.58831,154848381.869396,85753406.082502,173946448.952775,141963430.874457,98765976.1604999,99536082.5023288,193691745.590232,58149793.763537,78387911.1336513,129747545.420274,120889332.494862,89288623.4282211,176247637.589637,110654025.790362,111736753.274249,50108435.1642683,83605530.640818,143365661.674816,278859101.25489,133859740.421111,100263449.953909,160053285.593403,232859574.445756,112119197.882828,118945211.192255
FT_17.981_483.16591,MW_482.15866@RT_17.981,NA,C27 H22 N4 O5,482.15866,483.16591,17.981,482.15902,NA,NA,NA,Full match,No results,No results,0,0,19972686.4069616,77468838.7630943,30218529.3046919,106982113.577262,52527605.2845274,81246383.830135,38204374.782824,67026775.5042525,70922117.0625391,61982368.4132513,38155009.8955497,45674170.9651855,57980791.9667094,81377056.2135399,32453163.2538493,22304535.4292605,55640419.3449216,79070709.0516832,42117320.7596034,28692764.1494152,51870816.6652471,59420421.1276875,28793439.4959008,57320882.3239962,81030443.8043098,88729754.692762,41570684.4089101,47331010.9697392,78073870.49803,73890463.5459686,40817505.8729203,35817877.9962705
FT_19.388_481.22207,MW_480.21486@RT_19.388,NA,C21 H32 N6 O5 S,480.21486,481.22207,19.388,480.21549,NA,NA,NA,Full match,No results,No results,0,0,38613544.4006631,78021776.8406373,20740819.8448582,83240337.2859237,14182770.5768201,57808005.1355202,24608225.8258261,39345471.3919586,19171692.7020351,43488439.776052,19807254.5023579,22908218.3910195,26050523.094382,31371951.4437737,34037322.2732329,21520483.2958841,14718644.2707073,24008087.0660394,34187046.0270614,9141104.53104576,10476494.8186811,37813608.0367187,16684373.6037348,41586745.2549247,35486386.811209,55594612.2051642,36231267.3790035,38610909.0608319,62399481.0444004,89557023.0500052,47700176.7600553,23911725.2603065
FT_19.618_481.18598,MW_480.17873@RT_19.618,NA,C28 H24 N4 O4,480.17873,481.18598,19.618,480.17976,NA,NA,NA,Full match,No results,No results,0,0,81488660.6318872,111545645.841731,49802522.6364096,152621363.551753,62092076.6615571,123618208.943467,36849700.6057375,72084129.5618338,62684751.3064295,114607321.08699,53853629.6178934,60231839.1148181,76503610.9043722,102366067.208046,54176908.0013216,42809349.058901,82964121.9906464,80748840.8199611,44686206.6322991,70045691.1125468,30537950.24147,49465614.2349723,34245756.5420109,51395157.774933,96007460.152089,96799751.7881303,72884232.5919958,54837475.8782022,70036804.0592691,109832600.358117,53145089.5165025,61970126.3334817
FT_17.635_481.18592,MW_480.17864@RT_17.635,NA,C27 H28 O8,480.17864,481.18592,17.635,480.17842,NA,NA,NA,Full match,No results,No results,0,0,67825957.6261878,59190257.5639226,42524451.0321867,167669239.262462,50783581.2624335,183694459.399503,34454991.294886,87900617.3968169,43572968.8501453,99176828.0651911,78785760.4868226,38044632.0402026,44767781.4247675,99794560.0568013,27234396.7644041,43801996.7466224,56624838.2798856,45763550.8389272,38037028.8538215,105475678.573935,63149783.3659439,72984536.3445088,22845183.0130409,33156984.8019465,90587550.4259454,131964489.567001,69805928.3051899,39123639.165191,94703276.736843,107765462.354851,52145254.0409454,59226057.1646345
FT_18.257_481.18586,MW_480.17860@RT_18.257,NA,C22 H25 N8 O3 P,480.1786,481.18586,18.257,480.17872,NA,NA,NA,Full match,No results,No results,0,0,103549239.872438,118307938.138256,56598891.0801583,206733088.812435,95463363.9763722,237949559.667956,28359003.4514929,131990217.524861,90271669.3043791,135809421.054864,91178287.8221461,77972122.3198377,97702664.6832971,137115829.347837,28146282.7105618,72906952.2664939,123477723.528658,112002502.97052,63040373.4376676,154432710.776696,74519093.256167,119470825.252413,50350786.0754955,73172712.0223125,105908596.211918,189713982.868032,98887104.6132066,78843999.8069908,146053694.599845,164351970.4972,97042100.5942998,86999353.8781873
FT_17.284_481.18567,MW_480.17849@RT_17.284,NA,C27 H28 O8,480.17849,481.18567,17.284,480.17842,NA,NA,NA,Full match,No results,No results,0,0,79930425.4793453,85658626.8303882,40940919.6192816,202432632.40212,74969715.9142482,191309400.403054,17055985.680816,91849168.292086,54672258.5797745,116011158.3872,80838374.9047463,56620217.5121399,77326377.7356905,109186660.088048,25927270.0413702,41641216.7162641,52784799.0952453,69079423.2068343,27286796.0925452,124836893.899401,53433875.5734334,55059157.3281194,34446431.8289747,46459691.4283306,60317059.1755223,152722408.749593,55518258.121632,68978780.8579763,99017101.7432209,147531399.719669,58098843.4585195,70697123.9408808
FT_18.011_481.18575,MW_480.17848@RT_18.011,NA,C20 H30 N6 O4 P2,480.17848,481.18575,18.011,480.18038,NA,NA,NA,Full match,No results,No results,0,0,119100028.254041,132388693.358009,69914504.0008837,267322456.162721,104580873.821298,222316957.054813,31917248.7966516,142766636.443095,94581683.8303632,178469867.600188,131150031.601501,92043837.9635395,147451713.204319,166827989.043899,53248796.0073464,57298965.4083562,129448682.452174,81794333.0428881,60879965.5412913,163742451.466174,86640423.1290837,92691147.1113165,34731364.4776039,63385722.5938373,139513967.366722,172640108.381631,78795470.8879697,105641910.775095,132522699.894392,227539839.695849,81612480.5022703,108652159.95713
FT_16.850_481.18526,MW_480.17806@RT_16.850,NA,C21 H37 O6 P S2,480.17806,481.18526,16.85,480.17692,NA,NA,NA,Full match,No results,No results,0,0,62617209.106806204,81367145.8060755,51321060.8016377,126804912.452792,56191620.4877545,110287436.546898,33767645.4892705,52755951.3781182,41847664.6277483,83363254.3439561,60133103.2224718,67949002.8591854,81018367.8844136,82366824.8429828,33710580.0855426,34473285.0303399,65789962.1814688,79457543.7347703,44735710.8782079,71655195.9760095,81872204.4435606,70977803.6749402,16751924.8260676,41388164.9601721,60341808.4395965,105704333.449954,68151510.2301898,68895298.2589085,131914423.249302,139787055.872584,58881340.5972393,61912627.7990151
FT_18.011_481.15092,MW_480.14326@RT_18.011,NA,C26 H24 O9,480.14326,481.15092,18.011,480.14203,NA,NA,NA,Full match,No results,No results,0,0,31689502.4081319,65793092.7896942,16846662.9469039,51212280.0190714,42865920.0143918,50515371.9722628,20350195.3233787,59739505.6776211,63733935.1771959,54204756.5291942,36750259.1152891,36930125.5778044,39158242.8655019,56835526.2655682,21370205.3644022,23371540.7385386,49632215.4784018,55324243.9648558,35185935.6683584,30458225.3340543,25887138.2141947,39317812.8824714,3388719.91679735,31166938.1705774,41699272.0994493,49181647.5404884,15864679.7639974,42513918.0592153,60185600.5923606,40811980.8047405,32934944.5531099,41554027.3128348
FT_17.303_481.15020,MW_480.14291@RT_17.303,NA,C27 H28 O4 S2,480.14291,481.1502,17.303,480.1429,NA,NA,NA,Full match,No results,No results,0,0,31005312.4644436,55333297.7701307,22312146.1881144,106253033.362797,11140336.6668686,84170393.8993479,12108496.9941691,71606855.9505234,39372758.2748936,53959959.481047,25639017.4173927,27719783.7681386,42153715.7963703,73278469.8637087,25136612.4646793,18716403.402684,44753507.5477713,54605821.1880689,30199958.6894915,23076690.9678979,30978316.9490539,45324100.1813077,5337267.54987728,20692471.8512762,72677776.6601333,70221435.3857285,32386517.269624,41918553.6360669,57267766.4765524,65319008.7938427,29383355.3306155,26086850.1941659
FT_18.560_481.14978,MW_480.14249@RT_18.560,NA,C26 H24 O9,480.14249,481.14978,18.56,480.14203,NA,NA,NA,Full match,No results,No results,0,0,32542017.8982146,47393411.0026534,17438739.9674286,41630084.2278503,26748492.0210763,33816830.2205154,12609434.6906401,41533622.5217612,38259006.9410303,35745075.5727678,26479565.9850042,26030337.3647655,32703268.2018681,36245867.3803793,27270480.234718,16513731.4362033,29791108.1547145,32572905.074417,22145913.3830226,29197464.3474945,27187263.5966564,33316774.463999,13487725.493054,26776635.5316843,43120494.4556684,38670103.77127,21165387.5331545,26479237.2741598,40488523.7100032,40535928.8347559,22541335.2116194,5348158.05476734
FT_16.867_481.14965,MW_480.14240@RT_16.867,NA,C27 H20 N4 O5,480.1424,481.14965,16.867,480.14337,NA,NA,NA,Full match,No results,No results,0,0,33265743.309155,88543077.6435072,22483896.7977362,195571022.954736,51296850.5436802,127126824.717165,18068479.5310307,83939559.2143426,92368677.9169739,91573467.3981641,31266760.6932569,36499610.3114199,65707008.3857664,108210873.025298,21329833.8389386,20346956.9913141,55926236.5919304,93520638.5595372,39349434.4250615,41893213.5860569,47808107.9162505,62883487.3650813,8304194.50845052,33910035.9671522,96184759.0067021,94599488.4895085,37558270.0302231,51127881.8593548,95236546.5029746,120587213.880863,36138611.1152967,29723927.9763926
FT_0.983_478.83569,MW_477.82841@RT_0.983,NA,C8 H3 N2 O12 P S4,477.82841,478.83569,0.983,477.83064,NA,NA,NA,Full match,No results,No results,0,0,1042797.28961157,22871719.4426524,11052880.6107097,23372048.6795737,8264513.39651357,24955251.0877668,598034.84504845,8605788.37871316,5121707.48426525,20117152.4987757,11331119.0885654,11935154.213638,4942338.44612792,12949646.1995001,10195578.967456,446925.289317576,8010847.93598161,8982868.66376751,4316746.34926265,719340.555839148,984366.917468176,6001923.84477223,1733760.22173722,1623179.71052294,14378748.2753207,11587302.3672345,10582706.8028414,1009436.95141782,18502707.9019958,20264436.7408665,3541985.94669107,4315319.70382315
FT_0.889_476.86690,MW_475.85963@RT_0.889,NA,C14 H2 N6 O2 P2 S4,475.85963,476.8669,0.889,475.85973,NA,NA,NA,Full match,No results,No results,0,0,8441372.40696244,7648628.70232339,6305898.54727124,1492435.02103388,8923317.85484546,12166768.61324,7013858.5806325,6161155.64608355,9920685.79872684,1333175.51857422,10215792.3803552,8124534.9399148,7005771.23760188,1470212.80932145,7834004.32099805,4950863.26279497,7948493.86391216,8147859.84962564,6979964.38782967,3086450.51577349,6479097.53302008,1670787.98010286,6003980.65762536,3509928.87524503,6175458.66167261,7975485.76498496,7935110.3920539,2965017.14367938,7581781.65254841,3392974.9767155,4893965.05116194,4596110.56808515
FT_18.387_475.20996,MW_474.20269@RT_18.387,NA,C16 H31 N10 O3 P S,474.20269,475.20996,18.387,474.20389,NA,NA,NA,Full match,No results,No results,0,0,10610436.6072109,3624755.21342269,3613765.76399189,15149750.5540674,5943371.80063572,10237660.030983,2707679.67440329,4807029.72139906,5417664.57385643,10846708.018651,8874653.53746355,6014700.68697989,7424586.80111396,7883887.43498807,4130205.3476118,4217946.92796015,8030548.8651062,3660316.83394519,3320256.16592347,10101326.8268418,6619045.54796844,6239407.72375261,3560023.40815839,6134583.41107334,4507166.57407949,11629993.5176104,7337603.40704936,3883200.69566773,8263634.6112474,10345875.5571753,3898243.42702089,8125797.47980836
FT_0.890_474.83348,MW_473.82621@RT_0.890,NA,NA,473.82621,474.83348,0.89,NA,NA,NA,NA,No results,No results,No results,0,0,55440667.8886663,76394087.8169018,87199598.3586597,1712436.42759286,64945326.185913,65094737.0173616,102046513.681288,177411770.085876,103087252.784644,1529700.31539461,93646387.5264729,95597576.1063786,74480948.4448095,6425326.85429892,41305721.7382342,243123243.230965,62180909.6496723,58631735.8793491,61679180.4332369,114463182.507168,134837824.088943,8715491.88349273,45474747.1923484,105662835.276651,41488960.720759,50810397.9869053,79592734.5723436,180612872.679166,28290968.6743548,16370739.3051351,137298828.761386,138611580.694451
FT_19.801_473.19369,MW_472.18641@RT_19.801,WMH,C22 H28 N6 O4 S,472.18641,473.19369,19.801,472.18927,NA,82.5,NA,No match,Invalid mass,No results,2,0,30800576.3018403,17578958.5153048,29502285.1257509,39007992.748822,17546680.0312468,44619463.7894342,8401571.68243179,22759328.4609833,12827411.9685162,30609114.3398644,49350258.786265,23116578.7110997,22628599.130793,35998247.3538315,11331454.175365,16509434.2968792,29604488.7277245,11618943.9042699,12857746.6433933,54944857.3893269,33547471.8202603,33301180.4486444,15769325.8805515,19190252.9709936,6767227.24829446,45291514.6573758,28674267.8876941,16072313.8230137,24502756.4637422,25497282.0308287,17566082.0496369,39469733.5042822
