Compound,Kegg,Pathways of compound,InChI-Key,compound,kegg_cid,Common-Name,Engineered?
MALTOTETRAOSE,C02052,PWY-8317,InChIKey=LUEWUZLMQUOBSB-AYQJAVFRSA-N,Maltotetraose,C02052,cyclobis-(1&rarr;6)-&alpha;-nigerosyl biosynthesis,NA
MALTOTETRAOSE,C02052,GLYCOCAT-PWY,InChIKey=LUEWUZLMQUOBSB-AYQJAVFRSA-N,Maltotetraose,C02052,glycogen degradation I,NA
MALTOTRIOSE,C01835,PWY-8317,InChIKey=FYGDTMLNYKFZSV-DZOUCCHMSA-N,Maltotriose,C01835,cyclobis-(1&rarr;6)-&alpha;-nigerosyl biosynthesis,NA
MALTOTRIOSE,C01835,GLYCOCAT-PWY,InChIKey=FYGDTMLNYKFZSV-DZOUCCHMSA-N,Maltotriose,C01835,glycogen degradation I,NA
MALTOTRIOSE,C01835,PWY-6724,InChIKey=FYGDTMLNYKFZSV-DZOUCCHMSA-N,Maltotriose,C01835,starch degradation II,NA
N-ACETYL-D-MANNOSAMINE-6P,C04257,PWY-6138,InChIKey=BRGMHAYQAZFZDJ-ZTVVOAFPSA-L,D-Mannosamine,C04257,CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes),NA
N-ACETYL-D-MANNOSAMINE-6P,C04257,PWY-6145,InChIKey=BRGMHAYQAZFZDJ-ZTVVOAFPSA-L,D-Mannosamine,C04257,superpathway of CMP-sialic acids biosynthesis,NA
N-ACETYL-D-MANNOSAMINE-6P,C04257,PWY0-1324,InChIKey=BRGMHAYQAZFZDJ-ZTVVOAFPSA-L,D-Mannosamine,C04257,<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I,NA
N-ACETYL-D-MANNOSAMINE-6P,C04257,P441-PWY,InChIKey=BRGMHAYQAZFZDJ-ZTVVOAFPSA-L,D-Mannosamine,C04257,superpathway of <i>N</i>-acetylneuraminate degradation,NA
N-ACETYL-D-MANNOSAMINE-6P,C04257,GLCMANNANAUT-PWY,InChIKey=BRGMHAYQAZFZDJ-ZTVVOAFPSA-L,D-Mannosamine,C04257,"superpathway of <i>N</i>-acetylneuraminate, <i>N</i>-acetylglucosamine, and <i>N</i>-acetylmannosamine degradation to &beta;-D-fructofuranose 6-phosphate",NA
CPD0-881,C16698,PWY0-1261,InChIKey=NMEMTQKUEVNSPV-MKFCKLDKSA-K,N-acetylmuramic acid 6-phosphate,C16698,peptidoglycan recycling I,NA
CPD0-881,C16698,PWY-7883,InChIKey=NMEMTQKUEVNSPV-MKFCKLDKSA-K,N-acetylmuramic acid 6-phosphate,C16698,peptidoglycan recycling II,NA
N-ALPHA-ACETYLORNITHINE,C00437,ARGSYNBSUB-PWY,InChIKey=JRLGPAXAGHMNOL-LURJTMIESA-N,N-acetylornithine,C00437,L-arginine biosynthesis II (acetyl cycle),NA
N-ALPHA-ACETYLORNITHINE,C00437,GLUTORN-PWY,InChIKey=JRLGPAXAGHMNOL-LURJTMIESA-N,N-acetylornithine,C00437,L-ornithine biosynthesis I,NA
N-ALPHA-ACETYLORNITHINE,C00437,ARGSYN-PWY,InChIKey=JRLGPAXAGHMNOL-LURJTMIESA-N,N-acetylornithine,C00437,L-arginine biosynthesis I (via L-ornithine),NA
N-ALPHA-ACETYLORNITHINE,C00437,ARG+POLYAMINE-SYN,InChIKey=JRLGPAXAGHMNOL-LURJTMIESA-N,N-acetylornithine,C00437,superpathway of arginine and polyamine biosynthesis (from L-glutamate),NA
N-ALPHA-ACETYLORNITHINE,C00437,PWY-5154,InChIKey=JRLGPAXAGHMNOL-LURJTMIESA-N,N-acetylornithine,C00437,L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline),NA
N-SUCCINYL-2-AMINO-6-KETOPIMELATE,C04462,DAPLYSINESYN-PWY,InChIKey=SDVXSCSNVVZWDD-LURJTMIESA-K,(2S)-2-(3-carboxypropanamido)-6-oxoheptanedioic acid,C04462,L-lysine biosynthesis I,NA
N-SUCCINYL-2-AMINO-6-KETOPIMELATE,C04462,P4-PWY,InChIKey=SDVXSCSNVVZWDD-LURJTMIESA-K,(2S)-2-(3-carboxypropanamido)-6-oxoheptanedioic acid,C04462,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",NA
N-SUCCINYL-2-AMINO-6-KETOPIMELATE,C04462,PWY0-781,InChIKey=SDVXSCSNVVZWDD-LURJTMIESA-K,(2S)-2-(3-carboxypropanamido)-6-oxoheptanedioic acid,C04462,aspartate superpathway,NA
CPD-567,C02727,LYSDEGII-PWY,InChIKey=DTERQYGMUDWYAZ-ZETCQYMHSA-N,N6-Acetyl-L-lysine,C02727,L-lysine degradation III,NA
CPD-567,C02727,PWY-5327,InChIKey=DTERQYGMUDWYAZ-ZETCQYMHSA-N,N6-Acetyl-L-lysine,C02727,superpathway of L-lysine degradation,NA
NIACINE,C00253,PWY-7961,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,NA
NIACINE,C00253,P345-PWY,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,aldoxime degradation,NA
NIACINE,C00253,PWY-7963,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,NA
NIACINE,C00253,PWY-7964,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,pseudocobalamin biosynthesis from adenosylcobinamide-GDP,NA
NIACINE,C00253,PWY-7970,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,NA
NIACINE,C00253,PWY-7969,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP (anaerobic),NA
NIACINE,C00253,PWY-5507,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,adenosylcobalamin biosynthesis I (anaerobic),NA
NIACINE,C00253,PWY-7967,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP (anaerobic),NA
NIACINE,C00253,PWY-7966,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,NA
NIACINE,C00253,PWY-5509,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I,NA
NIACINE,C00253,P381-PWY,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,adenosylcobalamin biosynthesis II (aerobic),NA
NIACINE,C00253,PWY-6269,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,superpathway of adenosylcobalamin salvage from cobinamide II,NA
NIACINE,C00253,COBALSYN-PWY,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,superpathway of adenosylcobalamin salvage from cobinamide I,NA
NIACINE,C00253,PWY-7968,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,NA
NIACINE,C00253,PWY-7965,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,NA
NIACINE,C00253,PWY-722,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,nicotinate degradation I,NA
NIACINE,C00253,PWY-5388,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,N-glucosylnicotinate metabolism,NA
NIACINE,C00253,PWY-8511,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,NAD biosynthesis from nicotinamide II (deamidated pathway),NA
NIACINE,C00253,PYRIDNUCSAL-PWY,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,NAD salvage pathway I (PNC VI cycle),NA
NIACINE,C00253,PWY3O-4107,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,NAD salvage pathway V (PNC V cycle),NA
NIACINE,C00253,PWY-3502,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,superpathway of NAD biosynthesis in eukaryotes,NA
NIACINE,C00253,PWY-5316,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,nicotine biosynthesis,NA
NIACINE,C00253,PWY-7342,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,superpathway of nicotine biosynthesis,NA
NIACINE,C00253,PWY-5033,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,nicotinate degradation II,NA
NIACINE,C00253,PWY-5381,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,NAD salvage (plants),NA
NIACINE,C00253,PWY-5055,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,nicotinate degradation III,NA
NIACINE,C00253,PWY-5062,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,superpathway of nicotinate degradation,NA
NIACINE,C00253,PWY-5110,InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M,Nicotinic acid,C00253,trigonelline biosynthesis,NA
CPD-18427,C06080,PWY-7713,InChIKey=UKOTXHQERFPCBU-XLYGLCRNSA-N,Nivalenol,C06080,nivalenol biosynthesis,NA
CPD-18427,C06080,PWY-7715,InChIKey=UKOTXHQERFPCBU-XLYGLCRNSA-N,Nivalenol,C06080,superpathway of trichothecene biosynthesis,NA
CPD-9245,C08362,PWY-5366,InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-M,Palmitoleic acid,C08362,palmitoleate biosynthesis II (plants and bacteria),NA
CPD-9245,C08362,PWY-6282,InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-M,Palmitoleic acid,C08362,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),NA
CPD-9245,C08362,PWY-6285,InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-M,Palmitoleic acid,C08362,superpathway of fatty acids biosynthesis (<i>E. coli</i>),NA
CPD-9245,C08362,PWY-6284,InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-M,Palmitoleic acid,C08362,superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>),NA
CPD-9245,C08362,PWY3O-1801,InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-M,Palmitoleic acid,C08362,palmitoleate biosynthesis IV (fungi and animals),NA
CPD-9245,C08362,PWY-5366,InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-M,Palmitoleic Acid,C08362,palmitoleate biosynthesis II (plants and bacteria),NA
CPD-9245,C08362,PWY-6282,InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-M,Palmitoleic Acid,C08362,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),NA
CPD-9245,C08362,PWY-6285,InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-M,Palmitoleic Acid,C08362,superpathway of fatty acids biosynthesis (<i>E. coli</i>),NA
CPD-9245,C08362,PWY-6284,InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-M,Palmitoleic Acid,C08362,superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>),NA
CPD-9245,C08362,PWY3O-1801,InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-M,Palmitoleic Acid,C08362,palmitoleate biosynthesis IV (fungi and animals),NA
PHLORETIN,C00774,PWY-7897,InChIKey=VGEREEWJJVICBM-UHFFFAOYSA-N,Phloretin,C00774,flavonoid di-C-glucosylation,NA
PHLORETIN,C00774,PWY-6515,InChIKey=VGEREEWJJVICBM-UHFFFAOYSA-N,Phloretin,C00774,phloridzin biosynthesis,NA
CPD-10640,C07090,PWY-6107,InChIKey=RNYZJZKPGHQTJR-UHFFFAOYSA-N,Protoanemonin,C07090,chlorosalicylate degradation,NA
PYROGALLOL,C01108,PWY-8386,InChIKey=WQGWDDDVZFFDIG-UHFFFAOYSA-N,Pyrogallol,C01108,benzene degradation II (aerobic),NA
PYROGALLOL,C01108,P3-PWY,InChIKey=WQGWDDDVZFFDIG-UHFFFAOYSA-N,Pyrogallol,C01108,gallate degradation III (anaerobic),NA
PYROGALLOL,C01108,PWY-7009,InChIKey=WQGWDDDVZFFDIG-UHFFFAOYSA-N,Pyrogallol,C01108,"2,2'-dihydroxybiphenyl degradation",NA
CPD-1099,C00492,PWY-6527,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,D-(+)-Raffinose,C00492,stachyose degradation,NA
CPD-1099,C00492,PWY-5343,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,D-(+)-Raffinose,C00492,ajugose biosynthesis II (galactinol-independent),NA
CPD-1099,C00492,PWY-6525,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,D-(+)-Raffinose,C00492,stellariose and mediose biosynthesis,NA
CPD-1099,C00492,PWY-6524,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,D-(+)-Raffinose,C00492,lychnose and isolychnose biosynthesis,NA
CPD-1099,C00492,PWY-5337,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,D-(+)-Raffinose,C00492,stachyose biosynthesis,NA
CPD-1099,C00492,PWY-6527,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,D-Raffinose,C00492,stachyose degradation,NA
CPD-1099,C00492,PWY-5343,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,D-Raffinose,C00492,ajugose biosynthesis II (galactinol-independent),NA
CPD-1099,C00492,PWY-6525,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,D-Raffinose,C00492,stellariose and mediose biosynthesis,NA
CPD-1099,C00492,PWY-6524,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,D-Raffinose,C00492,lychnose and isolychnose biosynthesis,NA
CPD-1099,C00492,PWY-5337,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,D-Raffinose,C00492,stachyose biosynthesis,NA
CPD-1099,C00492,PWY-6527,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,melitose,C00492,stachyose degradation,NA
CPD-1099,C00492,PWY-5343,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,melitose,C00492,ajugose biosynthesis II (galactinol-independent),NA
CPD-1099,C00492,PWY-6525,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,melitose,C00492,stellariose and mediose biosynthesis,NA
CPD-1099,C00492,PWY-6524,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,melitose,C00492,lychnose and isolychnose biosynthesis,NA
CPD-1099,C00492,PWY-5337,InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,melitose,C00492,stachyose biosynthesis,NA
CPD-12167,C10464,PWY-6425,InChIKey=JFVKWCYZKMUTLH-AYPBNUJASA-N,Rotenalone,C10464,rotenoid biosynthesis II,NA
SARCOSINE,C00213,PWY-7807,InChIKey=FSYKKLYZXJSNPZ-UHFFFAOYSA-N,Sarcosine,C00213,glyphosate degradation III,NA
SARCOSINE,C00213,PWY-8443,InChIKey=FSYKKLYZXJSNPZ-UHFFFAOYSA-N,Sarcosine,C00213,cyclosporin A biosynthesis,NA
SARCOSINE,C00213,PWY-8325,InChIKey=FSYKKLYZXJSNPZ-UHFFFAOYSA-N,Sarcosine,C00213,glycine betaine degradation III,NA
SARCOSINE,C00213,PWY-3661,InChIKey=FSYKKLYZXJSNPZ-UHFFFAOYSA-N,Sarcosine,C00213,glycine betaine degradation I,NA
SARCOSINE,C00213,CRNFORCAT-PWY,InChIKey=FSYKKLYZXJSNPZ-UHFFFAOYSA-N,Sarcosine,C00213,creatinine degradation I,NA
SARCOSINE,C00213,PWY-4722,InChIKey=FSYKKLYZXJSNPZ-UHFFFAOYSA-N,Sarcosine,C00213,creatinine degradation II,NA
SARCOSINE,C00213,PWY-3661-1,InChIKey=FSYKKLYZXJSNPZ-UHFFFAOYSA-N,Sarcosine,C00213,glycine betaine degradation II (mammalian),NA
SARCOSINE,C00213,P541-PWY,InChIKey=FSYKKLYZXJSNPZ-UHFFFAOYSA-N,Sarcosine,C00213,glycine betaine biosynthesis IV (from glycine),NA
CPD-14452,C09311,PWY-7058,InChIKey=GUAFOGOEJLSQBT-UHFFFAOYSA-N,Scoparone,C09311,esculetin modification,NA
SCOPOLETIN,C01752,PWY-7058,InChIKey=RODXRVNMMDRFIK-UHFFFAOYSA-N,7-hydroxy-6-methoxy-2H-chromen-2-one,C01752,esculetin modification,NA
SCOPOLETIN,C01752,PWY-6792,InChIKey=RODXRVNMMDRFIK-UHFFFAOYSA-N,7-hydroxy-6-methoxy-2H-chromen-2-one,C01752,scopoletin biosynthesis,NA
SCOPOLETIN,C01752,PWY-7186,InChIKey=RODXRVNMMDRFIK-UHFFFAOYSA-N,7-hydroxy-6-methoxy-2H-chromen-2-one,C01752,superpathway of scopolin and esculin biosynthesis,NA
SCOPOLETIN,C01752,PWY-7058,InChIKey=RODXRVNMMDRFIK-UHFFFAOYSA-N,Scopoletin,C01752,esculetin modification,NA
SCOPOLETIN,C01752,PWY-6792,InChIKey=RODXRVNMMDRFIK-UHFFFAOYSA-N,Scopoletin,C01752,scopoletin biosynthesis,NA
SCOPOLETIN,C01752,PWY-7186,InChIKey=RODXRVNMMDRFIK-UHFFFAOYSA-N,Scopoletin,C01752,superpathway of scopolin and esculin biosynthesis,NA
SINAPATE,C00482,PWY-2181,InChIKey=PCMORTLOPMLEFB-ONEGZZNKSA-M,Sinapic acid,C00482,free phenylpropanoid acid biosynthesis,NA
SINAPATE,C00482,PWY-5168,InChIKey=PCMORTLOPMLEFB-ONEGZZNKSA-M,Sinapic acid,C00482,ferulate and sinapate biosynthesis,NA
SINAPATE,C00482,PWY-7256,InChIKey=PCMORTLOPMLEFB-ONEGZZNKSA-M,Sinapic acid,C00482,cyanidin diglucoside biosynthesis (acyl-glucose dependent),NA
SINAPATE,C00482,PWY-7450,InChIKey=PCMORTLOPMLEFB-ONEGZZNKSA-M,Sinapic acid,C00482,anthocyanidin modification (<i>Arabidopsis</i>),NA
SINAPATE,C00482,PWY-3301,InChIKey=PCMORTLOPMLEFB-ONEGZZNKSA-M,Sinapic acid,C00482,sinapate ester biosynthesis,NA
SINAPATE,C00482,PWY-7461,InChIKey=PCMORTLOPMLEFB-ONEGZZNKSA-M,Sinapic acid,C00482,hydroxycinnamate sugar acid ester biosynthesis,NA
SUC,C00042,DAPLYSINESYN-PWY,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,L-lysine biosynthesis I,NA
SUC,C00042,GLYOXYLATE-BYPASS,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,glyoxylate cycle,NA
SUC,C00042,PWY-5747,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,2-methylcitrate cycle II,NA
SUC,C00042,PWY0-42,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,2-methylcitrate cycle I,NA
SUC,C00042,PWY0-981,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,taurine degradation IV,NA
SUC,C00042,PWY-1541,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,superpathway of taurine degradation,NA
SUC,C00042,PWY-142,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,<i>m</i>-xylene degradation (anaerobic),NA
SUC,C00042,AST-PWY,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,L-arginine degradation II (AST pathway),NA
SUC,C00042,PWY-5363,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,chrysin biosynthesis,NA
SUC,C00042,PWY-6993,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,nicotine degradation II (pyrrolidine pathway),NA
SUC,C00042,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,4-hydroxyphenylacetate degradation,NA
SUC,C00042,P181-PWY,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,nicotine degradation I (pyridine pathway),NA
SUC,C00042,PWY-6537,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,4-aminobutanoate degradation II,NA
SUC,C00042,PWY-8346,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,GABA shunt II,NA
SUC,C00042,PWY-3621,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,&gamma;-butyrobetaine degradation II,NA
SUC,C00042,PWY-6100,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,L-carnitine biosynthesis,NA
SUC,C00042,PWY-6950,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,DIMBOA-glucoside biosynthesis,NA
SUC,C00042,HCAMHPDEG-PWY,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate,NA
SUC,C00042,PWY0-1277,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,NA
SUC,C00042,PWY-7894,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,procollagen hydroxylation and glycosylation,NA
SUC,C00042,PWY66-387,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,3-methyl-branched fatty acid &alpha;-oxidation,NA
SUC,C00042,PWY-5679,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,clavulanate biosynthesis,NA
SUC,C00042,PWY-5059,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,pinobanksin biosynthesis,NA
SUC,C00042,PWY1F-823,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,leucopelargonidin and leucocyanidin biosynthesis,NA
SUC,C00042,PWY-5925,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,hydroxylated mugineic acid phytosiderophore biosynthesis,NA
SUC,C00042,PWY-5270,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,morphine biosynthesis,NA
SUC,C00042,PWY-7151,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium),NA
SUC,C00042,PWY-7150,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium),NA
SUC,C00042,PWY-7149,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,superpathway of polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium),NA
SUC,C00042,PWY-7186,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,superpathway of scopolin and esculin biosynthesis,NA
SUC,C00042,PWY-7232,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,gibberellin biosynthesis V,NA
SUC,C00042,PWY-7274,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,D-cycloserine biosynthesis,NA
SUC,C00042,PWY-5737,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,(5<i>R</i>)-carbapenem carboxylate biosynthesis,NA
SUC,C00042,PWY-7298,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,nevadensin biosynthesis,NA
SUC,C00042,PWY-5390,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,rutin biosynthesis,NA
SUC,C00042,PWY1F-FLAVSYN,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,flavonoid biosynthesis,NA
SUC,C00042,PWY-3101,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,flavonol biosynthesis,NA
SUC,C00042,PWY-5391,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,syringetin biosynthesis,NA
SUC,C00042,PWY-6266,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,superpathway of flavones and derivatives biosynthesis,NA
SUC,C00042,PWY-7000,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,kanamycin biosynthesis,NA
SUC,C00042,PWY-5743,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,3-hydroxypropanoate cycle,NA
SUC,C00042,PWY-7024,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,superpathway of the 3-hydroxypropanoate cycle,NA
SUC,C00042,PWY-2083,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,isoflavonoid biosynthesis II,NA
SUC,C00042,PWY-3097,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,superpathway of isoflavonoids (via naringenin),NA
SUC,C00042,PWY-5060,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,luteolin biosynthesis,NA
SUC,C00042,PWY-6787,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,flavonoid biosynthesis (in equisetum),NA
SUC,C00042,PWY-7419,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,FR-900098 and FR-33289 antibiotics biosynthesis,NA
SUC,C00042,PWY-7790,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,UMP biosynthesis II,NA
SUC,C00042,PWY-7447,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,2-aminoethylphosphonate degradation III,NA
SUC,C00042,PWY-5749,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,itaconate degradation,NA
SUC,C00042,PWY-7517,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,brassicicene C biosynthesis,NA
SUC,C00042,PWY-7582,InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L,Succinic acid,C00042,mercaptosuccinate degradation,NA
