KEGG_ID,PubChem_CID,query
NA,4090108,"4-Amino-4-(3-hydroxypropyl)heptane-1,7-diol"
C18369,2537,D-(+)-Camphor
D00098,2537,D-(+)-Camphor
C00185,439178,D-(+)-Cellobiose
C00329,439213,D-(+)-Glucosamine
D04334,439213,D-(+)-Glucosamine
C00492,439242,D-(+)-Raffinose
NA,44715172,46-Dimethylcurvulinic acid
NA,51347808,4-[Ethyl(dimethyl)ammonio]butanoate
NA,23986038,"4-[2-(2,3-Dihydroxy-5,6,8a-trimethyloctahydro-2H-spiro[naphthalene-1,2'-oxiran]-5-yl)ethyl]-5-hydroxy-2(5H)-furanone"
NA,86597497,"4,6,7-Trihydroxycoumarin"
NA,5715152,"4,5-diphenyl-2,3-dihydro-1H-pyrazolo[3,4-c]pyridazin-3-one"
NA,290988,"4,5-Dimethoxyphthalic acid"
NA,69148,"4,4'-Dimethylbenzophenone"
NA,262615,"4,4'-Benzene-1,4-diylbisbut-3-en-2-one"
NA,15513,4-(Methoxycarbonyl)benzoic acid
NA,1581888,4-(benzyloxy)-2-{[(tert-butoxy)carbonyl]amino}-4-oxobutanoic acid
NA,54456955,4-(3-Hydroxy-3-phenylpropyl)phenol
NA,6444386,"4-(3,4-Dimethoxyphenyl)-4-oxocrotonic acid"
NA,13597600,3-Methoxy-2(5h)-furanone
NA,107802,3-Hydroxyvaleric acid
NA,22328017,3-Hydroxysuberic acid
NA,131750936,"3-Hydroxy-1-(8-hydroxy-6-methoxy-3-methyl-1-oxo-3,4-dihydro-1H-2-benzopyran-7-yl)-3-methylbutan-2-yl acetate"
C04586,440395,"Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate"
NA,131769998,3-cis-Hydroxyglipizide
NA,131753003,"3b-Hydroxy-6b-tigloyloxy-7(11)-eremophilen-12,8b-olide"
NA,10869133,"3a[(2S)a2aHydroxypropyl]a6,8adimethoxya1Ha isochromena1aone"
NA,2812082,3-{[2-(3-Cyano-2-pyridinyl)hydrazino]carbonyl}-2-pyrazinecarboxylic acid
NA,71825998,3-[(2-amino-9H-purin-6-yl)amino]propanoic acid
C00492,439242,D-Raffinose
NA,42109052,"3,8-bis(2-methoxyethyl)-1-methyl-7,8-dihydro-1H-imidazo[2,1-f]purine-2,4(3H,6H)-dione"
NA,736299,"3,7-Dihydroxy-2-naphthoic acid"
NA,688894,"3,6-Dimethylchromone"
NA,137797297,"3,6-Anhydro-l-lactose"
NA,14060723,"3,5-Dihydroxy-4-geranylbibenzyl"
C22358,67402,"Estradiol-3,4-quinone"
NA,14328,"3',4'-Dimethoxyacetophenone"
NA,14843288,"3,4-Dihydroxy-5-methoxy-trans-cinnamic acid methyl ester"
NA,2518,"3,4-Dihydroxy cinnamic acid"
NA,131836974,"3,4,5-trihydroxy-6-[(E)-5-(4-methoxyphenyl)-3-oxopent-4-enoxy]oxane-2-carboxylic acid"
NA,21909602,"3,4',5-Biphenyltriol"
NA,129681891,"3,4',5,6,7-Pentahydroxyflavanone"
C08762,182181,Euparin methyl ether
NA,54686330,"3,3'-Methylenebis(4-hydroxy-6-methyl-2H-pyran-2-one)"
NA,24041583,"3,3'-Diisopropyl-6,6'-dimethyl-2,2',5,5'-biphenyltetrol"
NA,539964,"3,11,12-Trihydroxy-1(10)-spirovetiven-2-one"
NA,6398474,3-(Dodecanoylamino)propyl-hydroxy-dimethylazanium
NA,602073,"3-(Acetyloxy)-2-(3,4-dimethoxyphenyl)-7,8-dimethoxy-3,4-dihydro-2H-chromen-4-yl acetate"
NA,38361962,"3-(5,7-Dimethoxy-4-oxochromen-2-yl)propanoic acid"
NA,691106,3-(4-Methylbenzoyl)acrylic acid
C05282,92865,gamma-Glutamylglutamate
C20948,92865,gamma-Glutamylglutamate
C05283,150914,gamma-Glutamylglutamine
NA,23345320,3-(4-Hydroxyphenyl)-1-(4-methoxyphenyl)propan-1-one
NA,6443694,3-(4-Hydroxy-3-(3-methyl-2-butenyl)phenyl)-2-propenal
NA,86092,"3-(3,5-dimethoxyphenyl)prop-2-enoic acid"
NA,64860,"3-(3,4,5-trimethoxyphenyl)propanoic acid"
NA,102304306,"3-(2-Oxopropyl)-6,8-dihydroxyisocoumarin"
NA,98393,3-(2-Oxocyclohexyl)propanoic acid
NA,80652,3-(2-Methoxyphenyl)propanoic acid
