CHEBI_ID,PubChem_CID,query
CHEBI:218357,135418331,"5,8-dihydroxy-10-methoxy-2-methyl-4H-benzo[h]chromen-4-one"
CHEBI:168108,539964,"3,11,12-Trihydroxy-1(10)-spirovetiven-2-one"
CHEBI:136629,131752244,N-(1-Deoxy-1-fructosyl)leucine
CHEBI:87986,154035,p-Cresol glucuronide
CHEBI:174164,290988,"4,5-Dimethoxyphthalic acid"
CHEBI:81275,46173978,"2(3H)-Furanone, dihydro-4-((4-hydroxy-3-(2-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-1-(hydroxymethyl)ethyl)-5-methoxyphenyl)methyl)-3-((4-hydroxy-3-methoxyphenyl)methyl)-, (3R,4R)-"
CHEBI:165894,25202447,"N-succinyl-L,L-2,6-diaminopimelate"
CHEBI:168716,131837489,"6-(2-Benzyl-3-oxopropoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
CHEBI:174671,73880643,"(1beta,4alpha,5alpha,6beta,8alpha,10b)-1,10:4,5-Diepoxy-6-hydroxy-7(11)-germacren-12,8-olide"
CHEBI:199540,139583741,Colisiderin A
CHEBI:169241,536551,15-Acetyl-4-deoxynivalenol
CHEBI:133856,122198273,Azanigerone E
CHEBI:209857,14314901,7-Oxocurvularin
CHEBI:192678,15956,"Methyl 3,4,5-trimethoxybenzoate"
CHEBI:190862,131836974,"3,4,5-trihydroxy-6-[(E)-5-(4-methoxyphenyl)-3-oxopent-4-enoxy]oxane-2-carboxylic acid"
CHEBI:216494,5367382,"1,3,6-Octatriene"
CHEBI:92577,5377914,"1,3-Dihydroxy-6-methoxy-8-methyl-9-xanthenone"
CHEBI:68704,71768073,5'-Hydroxyasperentin
CHEBI:198889,71606916,Aculeatusquinone C
CHEBI:221802,71436822,"6-Hydroxy-7,8-dimethoxy-2-(2-oxopropyl)-2,3,3a,9b-tetrahydrouro[3,2-c]isochromen-5-one"
CHEBI:168018,6426767,"6-(4-Ethenylphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
CHEBI:208705,139586947,"13-hydroxy-15-methoxy-3-methyl-3,4,5,6,9,10-hexahydro-1H-benzo(c)(1)oxacyclododecine-1,7(8H)-dione"
CHEBI:185464,317611,Gangetin
CHEBI:214048,139588465,Botryosphaerin F
CHEBI:220546,139586345,Aspergentisyl B
CHEBI:202408,91753566,"Megastigma-4,6(E),8(Z)-triene"
CHEBI:203878,122201239,Dehydroaustin
CHEBI:192119,131837021,"2-(4-Hydroxy-3-methylbut-2-en-1-yl)-4-(3-methylbut-2-en-1-yl)benzene-1,3,5-triol"
CHEBI:79599,5838784,"4-Benzyloxy-2'-hydroxy-3',4',5',6'-tetramethoxychalcone"
CHEBI:169234,10916629,Garcimangosone C
CHEBI:219928,76450517,Pseudoalteromone A
CHEBI:195870,12180841,"formyl 2Z,4E,6Z-decatrienoate"
CHEBI:67827,5470400,Austocystin D
CHEBI:127438,60189832,"1-[(1R)-1-(hydroxymethyl)-7-methoxy-9-methyl-1'-(pyridin-4-ylmethyl)-2-spiro[1,3-dihydropyrido[3,4-b]indole-4,4'-piperidine]yl]-2-(4-morpholinyl)ethanone"
CHEBI:2222,182181,Euparin methyl ether
CHEBI:214999,16105144,Isobisvertinol
