kegg_cid,month,month_mean_int,log_int
C01997,July_1,2705196.6836621556,22.36730205957907
C01997,July_2,2779987.6963439095,22.406647067214404
C01997,July_3,2041410.323418304,21.961134762505097
C01997,June,5633710.391530077,23.425653971261667
C01997,May,6599850.474046282,23.654001908523217
C01997,October,4491888.297251587,23.09889062105983
C01997,September,1593230.2368880804,21.60352333437665
C02052,August,9563936.959131215,24.1891731898538
C02052,July_1,13805454.115767581,24.718735008840927
C02052,July_2,12809815.858603576,24.610746401265892
C02052,July_3,10602089.67128012,24.3378453121386
C02052,June,14991479.45260229,24.837639428658832
C02052,May,14880356.226992566,24.826905728343235
C02052,October,13261888.902885007,24.660782938662468
C02052,September,12551806.79786222,24.58139171529564
C02140,August,259887748.95777458,28.953313386235507
C02140,July_1,10660491.368683336,24.345770601260323
C02140,July_2,6983145.368255916,23.73544557496614
C02140,July_3,95389077.25913954,27.50732074085898
C02140,June,254540389.29238993,28.92331935374419
C02140,May,34012899.92149257,26.01957867890184
C02140,October,11380588.485942231,24.440071825001837
C02140,September,10152466.92662594,24.275326991658908
C02183,August,6299299.673875492,23.58676001489101
C02183,July_1,7607944.657019063,23.85907532086775
C02183,July_2,7965898.637206394,23.925405691440282
C02183,July_3,5855699.410480512,23.481410067252938
C02183,June,9749225.410575788,24.2168561686261
C02183,May,11646258.599252164,24.4733632227626
C02183,October,10675064.408779532,24.347741438689294
C02183,September,9415174.97606678,24.166556476140112
C02265,August,127713916.3004627,27.928340495445603
C02265,July_1,109365833.28786175,27.704586858792595
C02265,July_2,123620624.20690471,27.881344213982363
C02265,July_3,109637622.41896167,27.708167706698777
C02265,June,90687217.9893946,27.43439588704016
C02265,May,45714136.095477395,26.446137020333115
C02265,October,85318575.4322451,27.34635654135283
C02265,September,70615918.78082846,27.073490107727597
C02427,August,7942566.751075181,23.92117387903984
C02427,July_1,9865068.555622984,24.23389764607267
C02427,July_2,9031901.79184441,24.106598368412357
C02427,July_3,7898820.618424373,23.913205828313963
C02427,June,16966110.568507623,25.016152533354948
C02427,May,11306101.899519438,24.430598269083195
C02427,October,12246476.425600838,24.54586337878227
C02427,September,5881653.697681529,23.487790412484
C02571,August,11019707.690739315,24.39358261963477
C02571,July_1,11215362.211010316,24.41897287862502
C02571,July_2,8399272.956273448,24.001833022480557
C02571,July_3,12383609.821011776,24.561928585528783
C02571,June,6320141.7984667085,23.59152549634204
C02571,May,5475493.342198332,23.384557526782842
C02571,October,7785471.453408988,23.89235297444749
C02571,September,9142406.21618809,24.124142491641784
C02666,August,27700942.578399964,25.723431731823442
C02666,July_1,28785176.996629037,25.778822747453443
C02666,July_2,26034432.936938226,25.63391764754901
C02666,July_3,29975415.578622732,25.8372764194878
C02666,June,28108895.184288844,25.744523414142122
C02666,May,24177667.32945029,25.52717172374592
C02666,October,22042863.166382812,25.393808293186922
C02666,September,29472035.850467592,25.812843385682182
C02727,August,2390527.08889444,22.1888973233856
C02727,July_1,2705196.6836621556,22.36730205957907
C02727,July_2,2779987.6963439095,22.406647067214404
C02727,July_3,2041410.323418304,21.961134762505097
C02727,June,5633710.391530077,23.425653971261667
C02727,May,6599850.474046282,23.654001908523217
C02727,October,4491888.297251587,23.09889062105983
C02727,September,1593230.2368880804,21.60352333437665
C02730,August,87280559.1626024,27.379157008523485
C02730,July_1,126934613.56594193,27.919510287779282
C02730,July_2,119846254.48744763,27.836609580753255
C02730,July_3,92795596.2225691,27.46755300557072
C02730,June,86365402.23802325,27.363950152340905
C02730,May,135138568.56853783,28.009864237919366
C02730,October,98433496.61900693,27.552646008055532
C02730,September,88370125.82228294,27.39705540246799
C02759,August,87300371.20534329,27.379484452487436
C02759,July_1,94837190.46481547,27.4989495880762
C02759,July_2,81416482.47716385,27.278817556748482
C02759,July_3,91110021.65032497,27.441106416263363
C02759,June,91861564.28381242,27.452958015213063
C02759,May,76771515.40182981,27.19406779011554
