kegg_cid,month,month_mean_int,log_int
C10470,June,29373626.068174846,25.808018036366207
C10470,May,33520841.46195742,25.99855502917231
C10470,October,32497629.231769886,25.95383113865034
C10470,September,35879316.56955719,26.096649074226207
C10833,August,2846775.535803785,22.440897312439766
C10833,July_1,3244221.4120515487,22.629440853481203
C10833,July_2,3109490.62299293,22.568246835895494
C10833,July_3,3311366.1557660205,22.658995115516973
C10833,June,3133371.682590853,22.579284482609843
C10833,May,3417346.492914712,22.704445102800108
C10833,October,4299595.680273867,23.03576956925771
C10833,September,4436613.7900799895,23.081027540470338
C11155,August,16396912.324820817,24.96692083313665
C11155,July_1,23655345.462105036,25.495662894299183
C11155,July_2,21404479.236659277,25.351409399917895
C11155,July_3,21931967.5861897,25.386531910764926
C11155,June,30316370.519760497,25.853593708400908
C11155,May,34063214.85895926,26.021711266057192
C11155,October,21716112.41035829,25.372262521115793
C11155,September,29541897.746925723,25.816259170819908
C11380,August,12968196.665015448,24.628474539073146
C11380,July_1,11175010.07450833,24.413772796240863
C11380,July_2,14201368.026787205,24.759526576363847
C11380,July_3,11206422.719552942,24.417822483086315
C11380,June,10525995.98198886,24.327453413445586
C11380,May,10499097.897107981,24.32376203826684
C11380,October,10070009.591788862,24.263561721738924
C11380,September,9706685.815356057,24.210547365080426
C11457,August,3934615.0521953492,22.90779106415349
C11457,July_1,3605378.66722787,22.781719360729884
