Reaction,Pathways,n_reaction
RXN1G-1437,PWYG-321,51
TREHALOSEPHOSPHA-RXN,PWY-881,2
TREHALOSEPHOSPHA-RXN,TRESYN-PWY,2
TREHALOSEPHOSPHA-RXN,PWY-7900,8
TREHALOSEPHOSPHA-RXN,TREHALOSESYN-PWY,1
RXN1G-1435,PWY-6113,82
RXN1G-1435,PWYG-321,51
RXN1G-1439,PWY-6113,82
RXN1G-1439,PWYG-321,51
RXN1G-1436,PWY-6113,82
RXN1G-1436,PWYG-321,51
RXN-17362,PWY-7884,1
RXN-17362,PWY-8488,1
PYRROLINECARBREDUCT-RXN,ARG-PRO-PWY,3
PYRROLINECARBREDUCT-RXN,PWY-3341,2
PYRROLINECARBREDUCT-RXN,PROSYN-PWY,3
PYRROLINECARBREDUCT-RXN,PWY-8187,4
PRIBFAICARPISOM-RXN,PRPP-PWY,42
PRIBFAICARPISOM-RXN,HISTSYN-PWY,7
IMIDPHOSDEHYD-RXN,PRPP-PWY,42
IMIDPHOSDEHYD-RXN,HISTSYN-PWY,7
ATPPHOSPHORIBOSYLTRANS-RXN,PRPP-PWY,42
ATPPHOSPHORIBOSYLTRANS-RXN,HISTSYN-PWY,7
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,PWY-6385,10
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,PWY-5265,13
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,PEPTIDOGLYCANSYN-PWY,10
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,PWY-7953,6
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,PWY-6470,11
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,PWY-6471,11
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,PWY0-1261,12
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,PWY-6387,8
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,PWY-6386,7
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN,PWY-5981,3
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN,PHOSLIPSYN2-PWY,18
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN,PWY0-1319,4
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN,PWY-8401,11
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN,PHOSLIPSYN-PWY,12
