month,genome,geTMM_month,mean_zs,order,Domain,Phylum,Class,Order,Family,Genus,Species
May_22,DNA-8_bin_30_1,26106.385914619445,1.6666256894498257,2,Bacteria,Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA
May_22,DNA-8_bin_35_1,7857.1014240185605,-0.40000035229790004,2,Bacteria,Actinomycetota,Actinomycetes,NA,NA,NA,NA
May_22,DNA-8_bin_39_1,1247.6717343152104,1.511999198172954,1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TH5893,NA
May_22,DNA-8_bin_7_1,3714.0595315413557,-0.1309491131813109,2,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,NA,NA
May_22,bcn_bin_10,1983.1010025034018,1.2672709939020523,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
May_22,bcn_bin_100_1,2859.4814272660446,0.04950854837354729,1,Bacteria,Chloroflexota,Dehalococcoidia,CAUJGQ01,CAUJGQ01,NA,NA
May_22,bcn_bin_103_1,772.7733524401359,-0.7937919922623985,2,Bacteria,Myxococcota,Polyangia,Polyangiales,JAFGIB01,NA,NA
May_22,bcn_bin_105_1,329.25457226788836,1.345573673512705,1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA
May_22,bcn_bin_106_1,2428.041050107355,-0.7005554562706866,2,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,QHXN01,NA
May_22,bcn_bin_110_1,1473.7065986970117,-0.6645701071859834,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
May_22,bcn_bin_114,432.8941055107867,-1.2704272125307863,3,Bacteria,Chloroflexota,UBA6077,UBA6077,CF-72,CF-72,NA
May_22,bcn_bin_115,6223.8851273843175,-0.6001629504808773,2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,NA,NA
May_22,bcn_bin_116,1156.5078315028484,1.3615893177103755,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
May_22,bcn_bin_123,142.25444328651574,-0.9124719990662379,2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA
May_22,bcn_bin_124,10698.094388310416,1.3902928131146526,1,Bacteria,Chloroflexota,UBA6077,UBA6077,JACCZL01,NA,NA
May_22,bcn_bin_125_1,799.6803723863892,-0.6095868192770517,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,NA,NA
May_22,bcn_bin_126,207.34142730554166,-1.0337137122966518,2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA
May_22,bcn_bin_130_1,230.46311505749932,-0.604791850529467,2,Bacteria,Actinomycetota,Acidimicrobiia,IMCC26256,JACDBD01,NA,NA
May_22,bcn_bin_131_1,725.5779461509079,-0.9001621650203797,2,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,CSP1-6,NA,NA
May_22,bcn_bin_133,3684.4144390592955,0.19010380309887617,2,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,JAJTCL01,NA
May_22,bcn_bin_135_1,1328.1885351105782,-1.0343331197727286,3,Bacteria,Chloroflexota,UBA6077,UBA6077,CF-72,NA,NA
May_22,bcn_bin_137_1,1138.8576191570123,-0.7357736614609084,2,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,CSP1-6,NA,NA
May_22,bcn_bin_138,3115.2909842145496,0.43490187352538273,1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
May_22,bcn_bin_139_1,2461.8540799481507,-0.5653255406075822,2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA,NA
May_22,bcn_bin_13_1,42.61335257260495,-1.0000857212849348,2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA
May_22,bcn_bin_140,6641.166573754095,-1.0042653028506383,2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,NA
May_22,bcn_bin_142_1,4709.301717180137,0.3756958986655525,1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
May_22,bcn_bin_14_1,1056.2169486789094,0.8617737992100412,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
May_22,bcn_bin_151,27124.484377070625,0.992527763469811,1,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,JALYGY01,NA
May_22,bcn_bin_154_1,624.0933214413254,-1.3303579981686595,2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA
May_22,bcn_bin_156_1,310.44538259928623,-0.9964938148757151,2,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomicrobium,NA
