FeatureID,dry,wet,Contrib.dry,Contrib.wet,Contrib,GroupContrib,color,importance,component
FT_19.416_534.30670,-0.6062253266641394,0.3031126633320748,FALSE,TRUE,FALSE,wet,#F68B33,0.013612735373481101,comp1
FT_0.981_378.90035,-0.6161389715831246,0.3080694857915634,FALSE,TRUE,FALSE,wet,#F68B33,0.013432364777361464,comp1
FT_11.693_171.10169,-0.584038994006827,0.29201949700341845,FALSE,TRUE,FALSE,wet,#F68B33,0.01329020696455251,comp1
FT_9.676_167.10667,-0.5743302010022314,0.28716510050111216,FALSE,TRUE,FALSE,wet,#F68B33,0.012536121845587044,comp1
FT_10.900_107.08547,-0.5745051620957277,0.2872525810478644,FALSE,TRUE,FALSE,wet,#F68B33,0.012506238547438497,comp1
FT_10.254_310.12853,-0.6528091822377053,0.3264045911188517,FALSE,TRUE,FALSE,wet,#F68B33,0.011157835956284372,comp1
FT_1.359_198.07952,0.5601046533400049,-0.28005232667000596,TRUE,FALSE,FALSE,dry,#388ECC,-0.0109528626289448,comp1
FT_17.482_179.07029,0.5721388453823973,-0.2860694226911909,TRUE,FALSE,FALSE,dry,#388ECC,-0.010653177642176853,comp1
FT_9.043_195.06277,-0.5678888719924396,0.28394443599621216,FALSE,TRUE,FALSE,wet,#F68B33,0.009636671385867967,comp1
FT_0.979_226.95148,-0.5811726091519583,0.2905863045759787,FALSE,TRUE,FALSE,wet,#F68B33,0.009413925496577043,comp1
FT_11.332_239.09131,0.5894179948303859,-0.2947089974151938,TRUE,FALSE,FALSE,dry,#388ECC,-0.009382274007736524,comp1
FT_0.981_566.88882,-0.5707285856629922,0.2853642928314968,FALSE,TRUE,FALSE,wet,#F68B33,0.009337330716672077,comp1
FT_16.666_291.15902,-0.6019310665766944,0.3009655332883388,FALSE,TRUE,FALSE,wet,#F68B33,0.009273308632926965,comp1
FT_11.379_209.11474,-0.577956136543268,0.288978068271631,FALSE,TRUE,FALSE,wet,#F68B33,0.008428723655507073,comp1
FT_1.411_527.15849,0.5558093548581925,-0.2779046774290993,TRUE,FALSE,FALSE,dry,#388ECC,-0.008387631408944092,comp1
FT_17.727_319.22678,-0.5703055912971388,0.2851527956485677,FALSE,TRUE,FALSE,wet,#F68B33,0.00804520224030056,comp1
FT_16.886_295.11540,-0.5828359815522629,0.291417990776133,FALSE,TRUE,FALSE,wet,#F68B33,0.00645929850920008,comp1
FT_1.414_325.11299,0.56615420351559,-0.28307710175779494,TRUE,FALSE,FALSE,dry,#388ECC,-0.006277214110798638,comp1
FT_10.898_121.10112,-0.5761275470637287,0.2880637735318652,FALSE,TRUE,FALSE,wet,#F68B33,0.006076719558635218,comp1
FT_9.172_282.09721,-0.633428057072416,0.3167140285362074,FALSE,TRUE,FALSE,wet,#F68B33,0.005382772791303483,comp1
FT_0.981_666.82426,-0.6008884560530978,0.30044422802654763,FALSE,TRUE,FALSE,wet,#F68B33,0.00486201335571861,comp1
FT_13.396_267.08631,0.5537516029438329,-0.27687580147191815,TRUE,FALSE,FALSE,dry,#388ECC,-0.004730895775716889,comp1
FT_15.594_229.12236,-0.5389406788684385,0.2694703394342165,FALSE,TRUE,FALSE,wet,#F68B33,0.004133005317836551,comp1
FT_14.823_269.13832,-0.5766863984606542,0.28834319923032264,FALSE,TRUE,FALSE,wet,#F68B33,0.0038752994974084174,comp1
FT_0.984_122.92447,0.5272142490907682,-0.2636071245453823,TRUE,FALSE,FALSE,dry,#388ECC,-0.003266981057855395,comp1
FT_1.058_304.15048,-0.5366379651731215,0.2683189825865606,FALSE,TRUE,FALSE,wet,#F68B33,0.0018122411400919862,comp1
