FeatureID,Formula_CD,Potential_fragment,Formula_sirius,Formula_cmmrt,zscore_cmmrt,name_cmmrt,cd_vs_sirius,cd_vs_cmmrt,cmmrt_vs_sirius,Notes_name,Sirius_structure_percentage,use_Sirius_class,Final_name,Keep_formula,Final_annotation_comment
FT_1.058_304.15048,C12 H21 N3 O6,NA,C12 H21 N3 O6,C12 H21 N3 O6,0.9992864,Nicotianamine,TRUE,TRUE,TRUE,Name also predicted by SIRIUS,29.85,na,Nicotianamine,C12 H21 N3 O6,L3.1
FT_1.060_222.13361,C9 H19 N O5,NA,C9 H19 N O5,C10 H15 N5 O,0.97482306,2-Methyl-4-(1H-purin-6-ylamino)butan-1-ol,TRUE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_1.081_154.13391,C8 H15 N3,NA,C8 H15 N3,NA,NA,NA,TRUE,FALSE,FALSE,na,na,yes,no name,C8 H15 N3,L4.3
FT_1.091_269.97637,C5 H8 N3 O4 P S2,NA,C6 H9 N O5 P2 S,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C6 H9 N O5 P2 S,L4.3
FT_1.096_191.99907,C4 H6 N3 O2 P S,NA,C5 H7 N O3 P2,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C5 H7 N O3 P2,L4.3
FT_1.098_196.95448,C H3 N4 O2 P3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C H3 N4 O2 P3,L4.3
FT_1.098_274.93181,C2 H5 N4 O4 P3 S,NA,C5 H9 N O2 P S4,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C5 H9 N O2 P S4,L4.3
FT_1.099_258.92490,C3 H5 N2 O4 P3 S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C3 H5 N2 O4 P3 S,L4.3
FT_1.100_198.09738,C6 H15 N O6,NA,C7 H11 N5 O2,NA,NA,NA,FALSE,FALSE,FALSE,na,62.5,na,1-Guanidino-2-(4-imidazole)propionic acid,C7 H11 N5 O2,L3.3
FT_1.103_381.07947,C9 H20 N2 O12 S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,na,na,na,no name,C9 H20 N2 O12 S,L4.3
FT_1.135_159.07646,C6 H10 N2 O3,NA,C6 H10 N2 O3,C6 H10 N2 O3,0.99836624,4-Methylene-L-glutamine,TRUE,TRUE,TRUE,"no name match, keeping cmmrt",na,na,4-Methylene-L-glutamine,C6 H10 N2 O3,L3.3
FT_1.135_159.07646,C6 H10 N2 O3,NA,C6 H10 N2 O3,C6 H10 N2 O3,0.9972851,"1-(Hydroxymethyl)-5,5-dimethylhydantoin",TRUE,TRUE,TRUE,"no name match, keeping cmmrt",na,na,4-Methylene-L-glutamine,C6 H10 N2 O3,L3.3
FT_1.135_159.07646,C6 H10 N2 O3,NA,C6 H10 N2 O3,C6 H10 N2 O3,0.90842205,"(4S,5S)-5-Hydroxy-2-methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylic acid",TRUE,TRUE,TRUE,"no name match, keeping cmmrt",na,na,4-Methylene-L-glutamine,C6 H10 N2 O3,L3.3
FT_1.141_287.12717,C11 H19 N4 O3 P,NA,C13 H14 N6 O2,C17 H18 O4,2.7412865,Myrigalone H,FALSE,FALSE,FALSE,Only compound among CMMRT candidates,50,na,"4-Hydroxy-3,5,4'-trimethoxystilbene",C17 H18 O4,L3.3
FT_1.141_287.12717,C11 H19 N4 O3 P,NA,C13 H14 N6 O2,C17 H18 O4,2.7217894,"7,3'-Dihydroxy-4'-methoxy-8-methylflavan",FALSE,FALSE,FALSE,Only compound among CMMRT candidates,50,na,"4-Hydroxy-3,5,4'-trimethoxystilbene",C17 H18 O4,L3.3
FT_1.141_287.12717,C11 H19 N4 O3 P,NA,C13 H14 N6 O2,C17 H18 O4,2.7190635,"3-(3,4-Dimethoxyphenyl)chroman-7-ol",FALSE,FALSE,FALSE,Only compound among CMMRT candidates,50,na,"4-Hydroxy-3,5,4'-trimethoxystilbene",C17 H18 O4,L3.3
FT_1.143_222.13363,C9 H19 N O5,NA,C9 H19 N O5,C10 H15 N5 O,0.84699976,2-Methyl-4-(1H-purin-6-ylamino)butan-1-ol,TRUE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_1.147_168.06892,C5 H13 N O3 S,NA,C5 H13 N O3 S,NA,NA,NA,TRUE,FALSE,FALSE,na,70.43,na,5-Aminopentane-1-sulfonate,C5 H13 N O3 S,L3.3
FT_1.147_335.13059,C11 H22 N6 O2 S2,NA,C22 H14 N4,NA,NA,NA,FALSE,FALSE,FALSE,na,72.73,na,2-(3-Quinoxalin-2-ylphenyl)quinoxaline,C22 H14 N4,L3.3
FT_1.155_335.07393,C10 H15 N4 O7 P,NA,C9 H19 O11 P,C16 H14 O8,2.3622694,NA,FALSE,FALSE,FALSE,"sirius, 60%",na,yes,no name,C9 H19 O11 P,L4.3
FT_1.155_335.07393,C10 H15 N4 O7 P,NA,C9 H19 O11 P,C16 H14 O8,2.313317,NA,FALSE,FALSE,FALSE,"sirius, 60%",na,yes,no name,C9 H19 O11 P,L4.3
FT_1.155_335.07393,C10 H15 N4 O7 P,NA,C9 H19 O11 P,C16 H14 O8,2.1038823,NA,FALSE,FALSE,FALSE,"sirius, 60%",na,yes,no name,C9 H19 O11 P,L4.3
FT_1.170_315.12215,C11 H18 N6 O3 S,NA,C14 H14 N6 O3,C18 H18 O5,2.7073047,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_1.170_315.12215,C11 H18 N6 O3 S,NA,C14 H14 N6 O3,C18 H18 O5,2.6983695,"(E)-4,2',4'-trihydroxy-6'-methoxy-3',5'-dimethylchalcone",FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_1.170_315.12215,C11 H18 N6 O3 S,NA,C14 H14 N6 O3,C18 H18 O5,2.5653586,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_1.174_398.12947,C14 H23 N O12,NA,C14 H23 N O12,NA,NA,NA,TRUE,FALSE,FALSE,Match CD and SIRIUS,85,na,alpha-D-GlcNAc-(1->4)-D-GlcA,C14 H23 N O12,L3.3
FT_1.176_198.09727,C6 H15 N O6,NA,C6 H15 N O6,NA,NA,NA,TRUE,FALSE,FALSE,na,na,yes,no name,C6 H15 N O6,L4.1
