FeatureID,Name,Formula,Notes,Action_decision,Other_mzcloud_match,Sirus_notes,Sirius_formula,Correlation_duplicated annotations,Final_decision
FT_1.285_313.23864,12(13)-DiHOME,C18 H34 O4,,keep lower match CD,12(13)-DiHOME,,,0,L2
FT_1.455_413.12538,NP-010746,C22 H22 O8,low quality peak,,,,,0,DELETE
FT_1.463_459.12991,embigenin,C23H24O10,,keep sirius,,embigenin,C23H24O10,0,L3.3
FT_1.669_387.18144,NP-018946,C21 H26 O4,adduct 46Da,,,,,0,L2
FT_1.176_443.13501,NP-020236,C23 H24 O9,isomer,,,,,0,L2
FT_1.348_443.13495,NP-020236,C23 H24 O9,isomer,,,,,0,L2
FT_13.222_411.11466,"(2R,3R,4R,5R)-5-[[(2S,3R,4R,5R)-3,4-dihydroxy-5-[[(2S,3R,4R,5R)-3,4,5-trihydroxyoxolan-2-yl]methoxy]oxolan-2-yl]methoxy]-3,4-dihydroxyoxolane-2-carbaldehyde",C15H24O13,,keep sirius,,"(2R,3R,4R,5R)-5-[[(2S,3R,4R,5R)-3,4-dihydroxy-5-[[(2S,3R,4R,5R)-3,4,5-trihydroxyoxolan-2-yl]methoxy]oxolan-2-yl]methoxy]-3,4-dihydroxyoxolane-2-carbaldehyde",C15H24O13,0,L3.3
FT_2.097_187.06118,NP-022068,C8 H12 O5,,isomer,,,,0,L2
FT_2.326_187.06115,NP-022068,C8 H12 O5,,isomer,,,,0,L2
FT_2.430_187.06117,NP-022068,C8 H12 O5,,isomer,,,,0,L2
FT_3.011_187.06117,NP-022068,C8 H12 O5,,DELETE,,,,0,DELETE
FT_1.317_297.15305,2-Decylbenzenesulfonate,C16H25O3S-,,keep sirius,,2-Decylbenzenesulfonate,C16H25O3S-,0,L2
FT_10.119_171.07747,Prolylglycine,C7 H12 N2 O3,,,,,,0,L2
FT_2.111_211.06111,Propyl gallate,C10 H12 O5,,isomer,,,,0,L2
FT_2.459_211.06108,Propyl gallate,C10 H12 O5,,isomer,,,,0,L2
FT_2.486_211.06105,Propyl gallate,C10 H12 O5,,DELETE,,,,0,DELETE
FT_1.543_349.20212,Prostaglandin K2,C20 H30 O5,,isomer,,,,0,L2
FT_1.663_349.20223,Prostaglandin K2,C20 H30 O5,,low quality,,,,0,DELETE
FT_12.842_443.14080,Tetracycline,C22 H24 N2 O8,adduct -11.67 ppm,,,,,0,L2
FT_1.467_223.06110,Trinexapac,C11 H12 O5,,,,,,0,L2
FT_2.417_167.03494,Vanillic acid,C8 H8 O4,,,,,,0,L2
