FeatureID,Formula_CD,Potential_fragment,Formula_sirius,cd_vs_sirius,Notes_name,Sirius_structure_percentage,Final_name,Keep_formula,use_Sirius_class,Final_annotation_comment
FT_11.145_404.10479,C12 H23 N O14,NA,NA,FALSE,,,no name,C12 H23 N O14,,L4.3
FT_12.214_427.12053,C18 H26 N2 O6 P2,NA,C14 H24 N2 O13,FALSE,na,na,na,C14 H24 N2 O13,yes,L4.3
FT_11.151_459.04495,C28 H8 N6 S,NA,NA,FALSE,,,no name,C28 H8 N6 S,,L4.3
FT_11.478_245.11431,C10 H18 N2 O5,NA,C10 H18 N2 O5,TRUE,"formula match, name sirius",95.2,glutamylvaline,C10 H18 N2 O5,na,L3.3
FT_11.767_487.16695,C19 H28 N4 O11,NA,C18 H32 O15,FALSE,keep sirius name,96.53,solatriose,C18 H32 O15,na,L3.3
FT_11.780_225.06158,C7 H14 O8,NA,C7 H14 O8,TRUE,na,na,na,C7 H14 O8,yes,L4.1
FT_11.815_173.00260,C5 H6 N2 O3 S,NA,C5 H6 N2 O3 S,TRUE,na,na,na,C5 H6 N2 O3 S,yes,L4.1
FT_11.957_404.10480,C12 H23 N O14,NA,NA,FALSE,,,,,,delete
FT_12.092_377.08584,C12 H23 Cl O11,NA,C11 H23 O12 P,FALSE,na,na,na,na,na,delete
FT_12.130_267.07221,C8 H14 O7,fragment,C8 H14 O7,TRUE,,,,,,delete
FT_12.130_267.07223,C9 H16 O9,NA,C10 H12 N4 O5,FALSE,keep sirius name,95.5,inosinum,C10 H12 N4 O5,na,L3.3
FT_12.203_459.04506,C27 H12 N2 O4 S,NA,NA,FALSE,,,no name,C27 H12 N2 O4 S,,L4.3
FT_12.207_404.10475,C12 H23 N O14,NA,NA,FALSE,,,no name,C12 H23 N O14,,L4.3
FT_12.660_592.06935,C20 H21 N9 O7 P2 S,NA,C17 H20 N7 O15 P,FALSE,na,na,na,C17 H20 N7 O15 P,yes,L4.3
FT_12.662_557.13355,C17 H37 O14 P3,NA,C27 H26 O13,FALSE,na,na,na,C27 H26 O13,yes,L4.3
FT_12.663_366.99751,C14 H5 N6 O5 P,NA,C11 H14 O10 P2,FALSE,na,na,na,C11 H14 O10 P2,yes,L4.3
FT_12.664_335.05996,C10 H17 N4 O5 P S,NA,C12 H16 O11,FALSE,na,na,na,C12 H16 O11,yes,L4.3
FT_12.664_349.99486,C9 H11 N3 O8 P2,NA,C7 H14 N O11 P S,FALSE,na,na,na,C7 H14 N O11 P S,yes,L4.3
FT_12.250_512.01961,C11 H16 N9 O9 P S2,NA,C13 H17 N5 O13 P2,FALSE,na,na,na,na,na,delete
FT_12.251_267.07222,C9 H16 O9,NA,C10 H12 N4 O5,FALSE,na,na,na,na,na,delete
FT_12.561_267.07221,C9 H16 O9,NA,C10 H12 N4 O5,FALSE,na,na,na,na,na,delete
FT_12.588_421.06592,C16 H24 O7 P2 S,NA,C12 H22 O14 S,FALSE,keep sirius name,90.66,Trehalose 2-sulfate,C12 H22 O14 S,na,L3.3
FT_12.667_369.99465,C6 H15 N O13 P2,NA,C8 H20 O8 P S3,FALSE,na,na,na,C8 H20 O8 P S3,yes,L4.3
FT_12.668_696.21990,C25 H39 N5 O18,NA,C24 H39 N7 O15 S,FALSE,na,na,na,C24 H39 N7 O15 S,yes,L4.3
FT_12.672_546.07685,C28 H22 N O7 P S,NA,C21 H17 N5 O13,FALSE,na,na,na,C21 H17 N5 O13,yes,L4.3
FT_12.663_535.15166,C18 H32 O18,NA,C18 H32 O18,TRUE,na,na,na,C18 H32 O18,yes,L4.1
FT_12.664_267.07219,C9 H16 O9,NA,C10 H12 N4 O5,FALSE,keep sirius name,88.89,inosinum,C10 H12 N4 O5,na,L3.3
FT_12.684_542.13382,C23 H31 N O10 P2,NA,C15 H25 N7 O15,FALSE,na,na,na,C15 H25 N7 O15,yes,L4.3
FT_12.842_543.06597,C33 H21 O2 P S2,NA,C18 H26 O15 P2,FALSE,na,na,na,C18 H26 O15 P2,yes,L4.3
FT_12.933_530.08007,C14 H32 N O12 P3 S,NA,C15 H26 N5 O10 P S2,FALSE,na,na,na,C15 H26 N5 O10 P S2,yes,L4.3
FT_13.009_565.10152,C16 H29 N10 O3 P3 S2,NA,C17 H30 N2 O15 S2,FALSE,na,na,na,C17 H30 N2 O15 S2,yes,L4.3
FT_13.273_529.05022,C17 H22 O17 S,NA,C17 H24 O15 P2,FALSE,na,na,na,C17 H24 O15 P2,yes,L4.3
FT_12.676_474.14656,C15 H27 N O13,NA,C15 H27 N O13,TRUE,na,na,na,C15 H27 N O13,yes,L4.1
FT_12.680_491.13674,C15 H28 N2 O16,NA,NA,FALSE,,,no name,C15 H28 N2 O16,,L4.3
FT_13.282_335.07517,C9 H21 O11 P,NA,C10 H17 N4 O7 P,FALSE,na,na,na,C10 H17 N4 O7 P,yes,L4.3
FT_12.806_421.06605,C12 H22 O14 S,NA,C12 H22 O14 S,TRUE,na,na,na,C12 H22 O14 S,yes,L4.1
FT_13.283_429.12512,C15 H26 O14,NA,C10 H23 N8 O9 P,FALSE,na,na,na,C10 H23 N8 O9 P,yes,L4.3
FT_12.933_462.09245,C15 H21 N5 O10 S,NA,C15 H29 N O9 S3,FALSE,keep sirius name,100,7-(Methylthio)heptyl-glucosinolate,C15 H29 N O9 S3,na,L3.3
FT_13.319_603.05365,C25 H18 N8 O5 P2 S,NA,C18 H27 N2 O15 P3,FALSE,na,na,na,C18 H27 N2 O15 P3,yes,L4.3
FT_12.933_565.01559,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_13.904_429.12517,C16 H22 N4 O10,NA,C15 H26 O14,FALSE,na,na,na,C15 H26 O14,yes,L4.3
FT_14.028_603.08687,C36 H17 Cl N4 O4,NA,C20 H24 N6 O12 S2,FALSE,na,na,na,C20 H24 N6 O12 S2,yes,L4.3
FT_14.029_606.08502,C27 H22 N5 O8 P S,NA,C22 H26 N O17 P,FALSE,na,na,na,C22 H26 N O17 P,yes,L4.3
FT_14.029_617.15437,C19 H41 O16 P3,NA,C23 H30 N4 O16,FALSE,na,na,na,C23 H30 N4 O16,yes,L4.3
FT_13.283_532.04834,C24 H16 N5 O6 P S,NA,C14 H20 N3 O17 P,FALSE,na,na,na,na,na,delete
FT_13.290_497.11264,C22 H28 O9 P2,NA,C18 H26 O16,FALSE,na,na,na,na,na,delete
FT_13.293_649.21933,C25 H38 N4 O16,NA,C24 H42 O20,FALSE,keep sirius name,79.58,Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)Glc,C24 H42 O20,yes,L3.3
FT_14.032_559.08117,C14 H22 Cl2 N10 O10,NA,C19 H28 O15 S2,FALSE,na,na,na,C19 H28 O15 S2,yes,L4.3
FT_13.321_503.12848,C17 H25 N6 O10 P,NA,C16 H29 N2 O14 P,FALSE,keep sirius name,93.21,alpha-D-ManAc-(1-P-6)-alpha-D-ManAc,C16 H29 N2 O14 P,na,L3.3
FT_13.830_274.10456,C10 H17 N3 O6,NA,C10 H17 N3 O6,TRUE,"formula match, name sirius",96.62,gamma-Glutamylglutamine,C10 H17 N3 O6,na,L3.3
FT_14.250_419.08676,C13 H24 O13 S,NA,C17 H24 O8 S2,FALSE,na,na,na,C17 H24 O8 S2,yes,L4.3
FT_14.266_636.19911,C23 H35 N5 O16,NA,C22 H39 N O20,FALSE,na,na,na,C22 H39 N O20,yes,L4.3
FT_14.029_566.15742,C19 H29 N5 O15,NA,NA,FALSE,,,no name,C19 H29 N5 O15,,L4.3
FT_14.691_446.09756,C17 H28 N3 O3 P3 S,NA,C19 H13 N9 O5,FALSE,na,na,na,C19 H13 N9 O5,yes,L4.3
FT_14.736_269.95928,C4 H6 N3 O7 P S,NA,C5 H7 N O8 P2,FALSE,na,na,na,C5 H7 N O8 P2,yes,L4.3
