FeatureID,Name,Formula,Annotation MW,Calc. MW,# mzCloud Results,# mzVault Results,mzCloud Best Match,KEGG ID,Potential_fragment,Notes,Action_decision,Sirus_notes,Sirius_percentage,Sirius_name,Sirius_formula,CMMRT_name,CMMRT_formula,Correlation_duplicated annotations,Final_name,Final_formula,Final_decision
FT_20.136_301.21621,"(2E)-5-[(8aS)-2,5,5,8a-tetramethyl-3-oxo-3,4,4a,5,6,7,8,8a-octahydronaphthalen-1-yl]-3-methylpent-2-enoic acid",C20 H30 O3,318.21949,300.20893,9,0,87.7,NA,NA,Adduct -18 Da,L2,na,na,na,na,na,na,na,"(2E)-5-[(8aS)-2,5,5,8a-tetramethyl-3-oxo-3,4,4a,5,6,7,8,8a-octahydronaphthalen-1-yl]-3-methylpent-2-enoic acid",C20 H30 O3,L2
FT_20.186_329.20989,HU-331,C21 H28 O3,328.20384,328.20261,1,0,67.8,NA,NA,low quality,check with sirius,delete,delete,delete,delete,delete,delete,low,delete,delete,delete
FT_20.269_343.22452,NP-018348,C20 H32 O3,320.23514,342.21724,2,0,89.5,NA,NA,"Adduct 21.98 Da, low quality",check with sirius,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_20.300_359.21947,NP-006862,C20 H32 O4,336.23006,358.2122,1,0,88.3,NA,NA,"Adduct 21.98 Da, low quality",low confidence,na,na,differente name,same formula,"17beta-Hydroxyandrost-4-ene-3,11-dione propionate",C22H30O4,0,"17beta-Hydroxyandrost-4-ene-3,11-dione propionate",C22H30O4,L3.3
FT_20.308_341.20890,15-epi Prostaglandin A1,C20 H32 O4,336.23006,318.21946,15,0,87.5,NA,NA,Adduct -18 Da,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_20.379_289.21619,Dehydroepiandrosterone (DHEA),C19 H28 O2,288.20893,288.20894,3,0,76.4,C01227,NA,0,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_20.555_495.34488,NP-021050,C30 H48 O4,472.35526,494.3376,2,0,96.8,NA,NA,"Adduct 21.98 Da, low quality",check with sirius,0,delete,delete,delete,delete,delete,0,,,delete
FT_20.667_345.20611,Nor-9-carboxy-δ9-THC,C21 H28 O4,344.19876,344.19883,1,0,71.2,NA,NA,0,L2,0,delete,delete,delete,delete,delete,higher 0.9,,,delete
FT_20.668_311.16425,Estriol,C18 H24 O3,288.17254,310.15697,4,0,73.4,NA,NA,Adduct 21.98 Da,L2,na,na,na,na,na,na,na,Estriol,C18 H24 O3,L2
FT_20.694_331.19022,NP-020713,C20 H26 O4,330.18311,330.18294,1,0,75.4,NA,NA,low quality,check with sirius,0,delete,delete,delete,delete,delete,low,,,delete
FT_20.734_385.23739,NP-005982,C22 H34 O4,362.24571,384.2302,1,0,62.3,NA,NA,"Adduct 21.98 Da, low quality",check with sirius,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_3.589_132.10187,Isoleucine,C6 H13 N O2,131.09463,131.09459,4,0,99.2,NA,NA,0,check with sirius,same annotation. 96%,na,na,na,na,na,0,Isoleucine,C6 H13 N O2,L2
FT_4.181_267.05877,6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,C11 H16 O5,228.09977,266.05149,1,0,96.6,NA,NA,Adduct 37.95 Da,L2,no result,na,na,na,no result,na,0,6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,C11 H16 O5,L3.3
FT_4.186_113.03450,Uracil,C4 H4 N2 O2,112.02728,112.02723,3,0,99.3,C00106,NA,duplicated,na,na,na,na,na,na,na,0,Uracil,C4 H4 N2 O2,L2
FT_4.191_267.05875,6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,C11 H16 O5,228.09977,244.06952,1,0,96.6,NA,NA,0,0,0,delete,delete,delete,delete,delete,0,,,delete
FT_5.536_413.10546,"3-hydroxy-3,4-bis[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one",C20 H22 O7,374.13655,412.09818,1,0,96.9,NA,NA,"Adduct 37.96 Da, low quality",delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_5.754_113.03450,Uracil,C4 H4 N2 O2,112.02728,112.02722,3,0,98.5,C00106,NA,duplicated,na,na,na,na,na,na,na,na,Uracil,C4 H4 N2 O2,L2
FT_5.941_521.19557,Methyl N-{[(2R)-1-(methoxyacetyl)-4-(3-pyridinylcarbonyl)-2-piperazinyl]carbonyl}-O-methyl-L-tyrosinate,C25 H30 N4 O7,498.21145,520.18829,4,0,86.8,NA,NA,Adduct 21.97 Da,na,na,na,na,na,na,na,0,Methyl N-{[(2R)-1-(methoxyacetyl)-4-(3-pyridinylcarbonyl)-2-piperazinyl]carbonyl}-O-methyl-L-tyrosinate,C25 H30 N4 O7,L3.3
FT_6.231_137.04577,Hypoxanthine,C5 H4 N4 O,136.03851,136.03849,4,0,99.8,C00262,NA,0,L2,na,na,na,na,na,na,low,Hypoxanthine,C5 H4 N4 O,L2
FT_6.554_152.05670,Guanine,C5 H5 N5 O,151.04941,151.04942,1,0,98.6,C00242,NA,0,L2,na,na,na,na,na,na,0,Guanine,C5 H5 N5 O,L2
