ko_id,name,pathway,reaction,brite,db_links
K08299,crotonobetainyl-CoA hydratase [EC:4.2.1.149],NA,L-carnitinyl-CoA hydro-lyase [(E)-4-(trimethylammonio)but-2-enoyl-CoA-forming],KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99980 Enzymes with EC numbers;    K08299  caiD; crotonobetainyl-CoA hydratase;Enzymes [BR:ko01000]; 4. Lyases;  4.2  Carbon-oxygen lyases;   4.2.1  Hydro-lyases;    4.2.1.149  crotonobetainyl-CoA hydratase;     K08299  caiD; crotonobetainyl-CoA hydratase,COG: COG1024
K11750,esterase FrsA [EC:3.1.-.-],NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99980 Enzymes with EC numbers;    K11750  frsA; esterase FrsA,COG: COG1073
K02499,tetrapyrrole methylase family protein / MazG family protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03036 Chromosome and associated proteins;    K02499  yabN; tetrapyrrole methylase family protein / MazG family protein;Chromosome and associated proteins [BR:ko03036]; Prokaryotic type;  Chromosome partitioning proteins;   Other chromosome partitioning proteins;    K02499  yabN; tetrapyrrole methylase family protein / MazG family protein,COG: COG3956
K16427,"(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase [EC:1.13.11.80]",Biosynthesis of vancomycin group antibiotics;Biosynthesis of secondary metabolites,"3,5-dihydroxyphenylacetyl-CoA:oxygen oxidoreductase (3,5-dihydroxyphenylglyoxylate-forming)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09109 Metabolism of terpenoids and polyketides;   01055 Biosynthesis of vancomycin group antibiotics;    K16427  dpgC; (3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01008 Polyketide biosynthesis proteins;    K16427  dpgC; (3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.13  Acting on single donors with incorporation of molecular oxygen (oxygenases);   1.13.11  With incorporation of two atoms of oxygen;    1.13.11.80  (3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase;     K16427  dpgC; (3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase;Polyketide biosynthesis proteins [BR:ko01008]; Polyketide tailoring proteins;  Oxygenase;   K16427  dpgC; (3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase; Nonribosomal peptide tailoring proteins;  Others;   K16427  dpgC; (3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase",COG: COG1024
K18383,feruloyl-CoA hydratase/lyase [EC:4.1.2.61],Biosynthesis of various alkaloids;Metabolic pathways;Biosynthesis of secondary metabolites,feruloyl-CoA hydro-lyase/vanillin-lyase (acetyl-CoA-forming);feruloyl-CoA hydro-lyase/vanillin-lyase (acetyl-CoA-forming);feruloyl-CoA hydro-lyase/vanillin-lyase (acetyl-CoA-forming),KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09110 Biosynthesis of other secondary metabolites;   00996 Biosynthesis of various alkaloids;    K18383  ferB; feruloyl-CoA hydratase/lyase;Enzymes [BR:ko01000]; 4. Lyases;  4.1  Carbon-carbon lyases;   4.1.2  Aldehyde-lyases;    4.1.2.61  feruloyl-CoA hydratase/lyase;     K18383  ferB; feruloyl-CoA hydratase/lyase,COG: COG1024;GO: 0050548 0050547
K19694,"two-component system, sensor histidine kinase ChiS",NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01001 Protein kinases;    K19694  chiS; two-component system, sensor histidine kinase ChiS;  09183 Protein families: signaling and cellular processes;   02022 Two-component system;    K19694  chiS; two-component system, sensor histidine kinase ChiS;Protein kinases [BR:ko01001]; Histidine kinases;  Other;   K19694  chiS; two-component system, sensor histidine kinase ChiS;Two-component system [BR:ko02022]; Other families;  Unclassified;   K19694  chiS; two-component system, sensor histidine kinase ChiS",COG: COG0642 COG0745;GO: 0000155
K02647,carbohydrate diacid regulator,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03000 Transcription factors;    K02647  cdaR; carbohydrate diacid regulator;Transcription factors [BR:ko03000]; Prokaryotic type;  Helix-turn-helix;   Other families;    K02647  cdaR; carbohydrate diacid regulator,COG: COG3835
K22213,6-methylsalicylate decarboxylase [EC:4.1.1.52],NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99980 Enzymes with EC numbers;    K22213  PATG; 6-methylsalicylate decarboxylase;Enzymes [BR:ko01000]; 4. Lyases;  4.1  Carbon-carbon lyases;   4.1.1  Carboxy-lyases;    4.1.1.52  6-methylsalicylate decarboxylase;     K22213  PATG; 6-methylsalicylate decarboxylase,GO: 0047596
K10619,"p-cumate 2,3-dioxygenase subunit alpha [EC:1.14.12.25]",Xylene degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"4-isopropylbenzoate:oxygen 2,3-oxidoreductase","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09111 Xenobiotics biodegradation and metabolism;   00622 Xylene degradation;    K10619  cmtAb; p-cumate 2,3-dioxygenase subunit alpha;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen;   1.14.12  With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into the other donor;    1.14.12.25  p-cumate 2,3-dioxygenase;     K10619  cmtAb; p-cumate 2,3-dioxygenase subunit alpha;Dioxygenases [br01602.html]; Dioxygenases in aromatic ring cleavage;  K10619",COG: COG4638;GO: 0018570
K16303,"p-cumate 2,3-dioxygenase subunit beta [EC:1.14.12.25]",Xylene degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"4-isopropylbenzoate:oxygen 2,3-oxidoreductase","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09111 Xenobiotics biodegradation and metabolism;   00622 Xylene degradation;    K16303  cmtAc; p-cumate 2,3-dioxygenase subunit beta;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen;   1.14.12  With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into the other donor;    1.14.12.25  p-cumate 2,3-dioxygenase;     K16303  cmtAc; p-cumate 2,3-dioxygenase subunit beta;Dioxygenases [br01602.html]; Dioxygenases in aromatic ring cleavage;  K16303",GO: 0018570
