genome,cluster,Domain,Phylum,Class,Order,Family,Genus,Species,response_type
bco_bin_183_1,Cluster 1,Bacteria,Actinomycetota,UBA4738,UBA4738,HRBIN12,NA,NA,Dry
bco_bin_186,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,AC-38,NA,Wet
bco_bin_187,Cluster 2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Methyloceanibacter,NA,Wet
bco_bin_189,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,Palsa-739,NA,Wet
bco_bin_18_1,Cluster 2,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,NA,NA,NA,Wet
bco_bin_19,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
bco_bin_190_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,JAIBJP01,NA,Wet
bco_bin_193,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Longimicrobiales,Longimicrobiaceae,NA,NA,Wet
bco_bin_196_1,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Actinomycetospora,NA,Wet
bco_bin_197,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
bco_bin_199,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,Wet
bco_bin_20,Cluster 1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA,Dry
bco_bin_200,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,JAJTCL01,NA,Wet
bco_bin_201_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,Wet
bco_bin_205,Cluster 1,Bacteria,Actinomycetota,UBA4738,UBA4738,HRBIN12,NA,NA,Dry
bco_bin_208,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA,Wet
bco_bin_215,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
bco_bin_21_1,Cluster 2,Bacteria,Chloroflexota,Limnocylindria,QHBO01,QHBO01,NA,NA,Wet
bco_bin_23_1,Cluster 2,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19,NA,Wet
bco_bin_24,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA,Wet
bco_bin_25_1,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
bco_bin_26,Cluster 1,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,JALYGY01,NA,Dry
bco_bin_27,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,AC-37,NA,Wet
bco_bin_28_1,Cluster 2,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,UBA10450,NA,NA,Wet
bco_bin_29_1,Cluster 3,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,KBS-83,NA,Pulse
bco_bin_3,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,NA,NA,NA,Wet
bco_bin_30,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Jatrophihabitantaceae,NA,NA,Wet
bco_bin_32,Cluster 1,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Dry
bco_bin_35,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
bco_bin_4,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,JAIBJP01,NA,Wet
bco_bin_40_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
bco_bin_46,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,PALSA-600,NA,Wet
bco_bin_49,Cluster 2,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19,NA,Wet
bco_bin_51_1,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
bco_bin_52,Cluster 2,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,CSP1-6,AR5,NA,Wet
bco_bin_54,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA,Wet
bco_bin_55_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA,Wet
bco_bin_57,Cluster 1,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Dry
bco_bin_58,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465,NA,Wet
bco_bin_59_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA,Wet
bco_bin_5_1,Cluster 2,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,QHXN01,NA,Wet
bco_bin_66,Cluster 1,Bacteria,Actinomycetota,UBA4738,UBA4738,HRBIN12,NA,NA,Dry
bco_bin_67,Cluster 2,Bacteria,Chloroflexota,UBA6077,UBA6077,CF-72,NA,NA,Wet
bco_bin_68_1,Cluster 1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA,Dry
bco_bin_74,Cluster 2,Bacteria,Chloroflexota,UBA6077,UBA6077,CF-72,NA,NA,Wet
bco_bin_76_1,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,NA,NA,Wet
bco_bin_78_1,Cluster 1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,NA,Dry
bco_bin_79,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
bco_bin_80,Cluster 2,Bacteria,Actinomycetota,Nitriliruptoria,Euzebyales,Egibacteraceae,NA,NA,Wet
bco_bin_82,Cluster 3,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,TMP-7,NA,Pulse
bco_bin_84,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,NA,Wet
bco_bin_87_2,Cluster 1,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter_F,NA,Dry
bco_bin_89_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA,Wet
bco_bin_91,Cluster 1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,NA,Dry
bco_bin_93_1,Cluster 1,Bacteria,Chloroflexota,UBA6077,UBA6077,CF-72,NA,NA,Dry
bco_bin_96,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA,Wet
