FeatureID,Name,Formula,Annotation_level,LC_mode
FT_16.781_259.09647,"N1,N1-dimethyl-4-[3-(methylthio)-4,5-dihydro-1H-1,2,4-triazol-5-yl]aniline",C11 H16 N4 S,L2,RP
FT_16.821_217.12229,Ochracene D,C14H16O2,L3.3,RP
FT_16.821_257.11480,3-(4-Hydroxyphenyl)-1-(4-methoxyphenyl)propan-1-one,C16H16O3,L3.3,RP
FT_16.886_295.11540,N-Glycosyl-L-asparagine,C10H18N2O8,L3.1,RP
FT_16.913_197.08089,Cantharidin,C10 H12 O4,L2,RP
FT_16.933_507.19917,Piperaduncin B,C29H30O8,L3.3,RP
FT_17.037_261.11213,"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione",C15 H16 O4,L2,RP
FT_17.117_249.11211,NP-021018,C12 H18 O4,L2,RP
FT_17.121_507.19931,Piperaduncin B,C29H30O8,L3.3,RP
FT_17.195_235.09648,NP-020205,C11 H16 O4,L2,RP
FT_17.196_293.13835,"N-{[(2R,4S,5R)-5-Ethyl-1-azabicyclo[2.2.2]oct-2-yl]methyl}-2-thiophenesulfonamide",C14 H22 N2 O2 S2,L2,RP
FT_17.197_297.13095,Phomopsolidone A,C15H20O6,L2,RP
FT_17.338_313.17987,"6-[(2E,6E)-7-(5-hydroxy-3-methyl-2-oxocyclopent-3-en-1-yl)-6-methylhepta-2,6-dien-2-yl]-3-methyl-5,6-dihydro-2H-pyran-2-one",C20 H26 O4,L2,RP
FT_17.354_275.12781,2-(1H-benzo[d]imidazol-2-yl)-3-(4-toluidino)acrylonitrile,C17 H14 N4,L2,RP
FT_17.410_249.14849,"(3aR,5aR,9bR)-3a-hydroxy-5a,9-dimethyl-3-methylidene-2H,3H,3aH,4H,5H,5aH,6H,7H,8H,9bH-naphtho[1,2-b]furan-2-one",C15 H20 O3,L2,RP
FT_17.442_231.13795,"7-Methyl-3-methylene-6-(3-oxobutyl)-3,3a,4,7,8,8a-hexahydro-2H-cyclohepta[b]furan-2-one",C15 H20 O3,L2,RP
FT_17.482_179.07029,NP-012042,C10 H12 O4,L2,RP
FT_17.498_237.11217,NP-000919,C11 H18 O4,L2,RP
FT_17.516_261.11216,"(3aR,4R,11aR)-4-hydroxy-10-(hydroxymethyl)-3-methylidene-2-oxo-2H,3H,3aH,4H,5H,8H,9H,11aH-cyclodeca[b]furan-6-carbaldehyde",C15 H18 O5,L2,RP
FT_17.542_507.19933,Piperaduncin B,C29H30O8,L3.1,RP
FT_17.645_233.11720,Sorbicillin,C14 H16 O3,L2,RP
FT_17.722_507.19928,Piperaduncin B,C29H30O8,L3.3,RP
FT_17.727_319.22678,NP-014287,C18 H32 O3,L2,RP
FT_17.790_217.12229,Ochracene D,C14H16O2,L3.3,RP
FT_17.837_415.21159,Bis(4-ethylbenzylidene)sorbitol,C24 H30 O6,L2,RP
FT_17.868_331.19045,NP-020713,C20 H26 O4,L2,RP
FT_17.908_367.15396,2-{2-[5-(Ethoxycarbonyl)-2-morpholinoanilino]-2-oxoethoxy}acetic acid,C17 H22 N2 O7,L2,RP
FT_17.960_483.20153,Territrem E,C27H30O8,L3.3,RP
FT_18.031_311.12773,2-(1-Benzofuran-2-yl)-1-(5-ethyl-2-hydroxy-4-methoxyphenyl)ethanone,C19H18O4,L3.3,RP
FT_18.075_333.16973,NP-019547,C17 H26 O5,L2,RP
FT_18.095_363.14407,"(2S,3R,4S,5S,6R)-2-[4-hydroxy-2-(3-methylbut-2-en-1-yl)phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",C17 H24 O7,L2,RP
FT_18.102_347.22175,Tetrahydrocortisone,C21 H32 O5,L2,RP
FT_18.159_261.14850,NP-020535,C16 H22 O4,L2,RP
FT_18.216_259.13288,NP-020240,C14 H20 O3,L2,RP
FT_18.220_309.20407,NP-001596,C16 H30 O4,L2,RP
FT_18.226_311.21946,NP-020214,C16 H32 O4,L2,RP
FT_18.433_297.14613,2-Butyl-5-[2-(4-hydroxy-3-methoxyphenyl)ethyl]furan,C17H22O3,L3.3,RP
FT_18.435_217.12230,Ochracene D,C14H16O2,L3.3,RP
FT_18.576_433.12833,"1-Allyl-3-[(6aS,8S)-6,12-dioxo-2-(3-thienyl)-5,6,6a,7,8,9,10,12-octahydropyrido[2,1-c][1,4]benzodiazepin-8-yl]urea",C21 H22 N4 O3 S,L2,RP
FT_18.589_329.17482,Crocetin,C20H24O4,L3.1,RP
FT_18.607_277.14112,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one",C14 H22 O4,L2,RP
FT_18.654_271.13050,"(3aR,5aR,9bR)-3a-hydroxy-5a,9-dimethyl-3-methylidene-2H,3H,3aH,4H,5H,5aH,6H,7H,8H,9bH-naphtho[1,2-b]furan-2-one",C15 H20 O3,L2,RP
FT_18.664_217.12230,Ochracene D,C14H16O2,L3.3,RP
FT_18.816_279.23187,Pinolenic acid,C18 H30 O2,L2,RP
FT_18.821_297.24243,NP-008993,C18 H34 O4,L2,RP
FT_18.871_285.14858,"Estrone-2,3-quinone",C18H20O3,L3.3,RP
FT_19.148_415.21162,"5-hydroxy-2,2,6,6-tetramethyl-4-{2-methyl-1-[2,4,6-trihydroxy-3-(2-methylpropanoyl)phenyl]propyl}cyclohex-4-ene-1,3-dione",C24 H32 O7,L2,RP
FT_19.226_347.22170,Corticosterone,C21 H30 O4,L2,RP
FT_19.230_235.09647,"(S)-2,3-Dihydro-6-hydroxy-5-(hydroxyacetyl)-2-isopropenylbenzofuran",C13H14O4,L3.3,RP
FT_19.290_451.21155,Prenylterphenyllin J,C27H30O6,L3.3,RP
FT_19.291_217.12230,3-(4-Hydroxy-3-(3-methyl-2-butenyl)phenyl)-2-propenal,C14H16O2,L3.3,RP
FT_19.321_427.17535,"N-({(2R,4S,5R)-5-[3-(2-Methoxyphenyl)-1-methyl-1H-pyrazol-5-yl]-1-azabicyclo[2.2.2]oct-2-yl}methyl)methanesulfonamide",C20 H28 N4 O3 S,L2,RP
FT_19.436_263.16178,NP-012972,C14 H24 O3,L2,RP
FT_19.437_137.13245,Eucalyptol,C10 H18 O,L2,RP
FT_19.470_297.18489,Eicosatetraynoic acid,C20 H24 O2,L2,RP
FT_19.567_399.25075,no name,C18 H39 O7 P,L4.3,RP
FT_19.578_295.22447,13-OxoODE,C18H30O3,L3.3,RP
FT_19.589_409.23524,NP-016839,C24 H34 O4,L2,RP
FT_19.601_255.23185,Palmitoleic acid,C16 H30 O2,L2,RP
FT_19.622_493.22225,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",C20 H38 O12,L2,RP
FT_19.648_451.21155,Prenylterphenyllin J,C27H30O6,L3.3,RP
FT_19.657_311.16419,Estriol,C18 H24 O3,L2,RP
FT_19.660_423.14401,"5-[(1S,3aR,4S,6aR)-4-(3,4,5-trimethoxyphenyl)-hexahydrofuro[3,4-c]furan-1-yl]-2H-1,3-benzodioxole",C22 H24 O7,L2,RP
FT_19.798_451.21160,NP-020353,C21H30O5,L2,RP
FT_19.821_277.21615,Palmitoleic Acid,C16 H30 O2,L2,RP
FT_19.829_335.21962,NP-002322,C18 H32 O4,L2,RP
FT_19.830_493.22235,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",C20 H38 O12,L2,RP
FT_2.023_144.10191,Crotonic acid betaine,C7H13NO2,L3.1,RP
FT_2.050_247.12881,Glutamylvaline,C10H18N2O5,L3.1,RP
FT_2.163_260.16048,Isoleucylglutamine,C11H21N3O4,L3.1,RP
FT_2.375_162.07610,4-Methyl-L-glutamate,C6H11NO4,L3.1,RP
FT_2.382_126.05492,5-Hydroxy-2-methoxypyridine,C6H7NO2,L3.3,RP
FT_2.389_184.05804,"7-methylpyrimido[4,5-d]pyrimidin-4-amine",C7 H7 N5,L2,RP
FT_2.484_112.05050,Cytosine,C4 H5 N3 O,L2,RP
FT_2.525_435.11107,no name,C17H22O13,L4.3,RP
FT_2.642_112.05049,Cytosine,C4 H5 N3 O,L2,RP
FT_2.753_144.10191,2-Piperidin-2-ylacetate,C7H12NO2,L3.3,RP
FT_2.880_158.15396,"2,2,6,6-Tetramethyl-4-piperidinol",C9 H19 N O,L2,RP
FT_2.882_184.05804,"7-methylpyrimido[4,5-d]pyrimidin-4-amine",C7 H7 N5,L2,RP
FT_20.077_451.21163,"(2S)-6-(Gamma,Gamma-Dimethylallyl)-5-Hydroxy-3',4'-Dimethoxy-6'',6''-Dimethylpyran(2'',3'':7,8)Flavanone",C27H30O6,L3.3,RP
FT_20.113_473.19368,5-Formimidoyltetrahydrofolic acid,C20H24N8O6,L3.3,RP
FT_20.125_207.06518,Scoparone,C11 H10 O4,L2,RP
FT_20.136_301.21621,"(2E)-5-[(8aS)-2,5,5,8a-tetramethyl-3-oxo-3,4,4a,5,6,7,8,8a-octahydronaphthalen-1-yl]-3-methylpent-2-enoic acid",C20 H30 O3,L2,RP
FT_20.300_359.21947,"17beta-Hydroxyandrost-4-ene-3,11-dione propionate",C22H30O4,L3.3,RP
FT_20.668_311.16425,Estriol,C18 H24 O3,L2,RP
FT_3.589_132.10187,Isoleucine,C6 H13 N O2,L2,RP
FT_4.181_267.05877,6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,C11 H16 O5,L3.3,RP
FT_4.186_113.03450,Uracil,C4 H4 N2 O2,L2,RP
FT_5.754_113.03450,Uracil,C4 H4 N2 O2,L2,RP
FT_5.941_521.19557,Methyl N-{[(2R)-1-(methoxyacetyl)-4-(3-pyridinylcarbonyl)-2-piperazinyl]carbonyl}-O-methyl-L-tyrosinate,C25 H30 N4 O7,L3.3,RP
FT_6.231_137.04577,Hypoxanthine,C5 H4 N4 O,L2,RP
FT_6.554_152.05670,Guanine,C5 H5 N5 O,L2,RP
FT_6.596_137.04577,Hypoxanthine,C5 H4 N4 O,L2,RP
FT_6.761_200.05429,"(2S,4S)-4-amino-2-hydroxy-2-methylpentanedioic acid",C6H11NO5,L3.3,RP
FT_7.106_225.10971,NP-019374,C10 H18 O4,L3.3,RP
FT_7.161_223.09407,unknown,C8H10N6O2,L4.3,RP
FT_7.182_185.07835,5-amino-1-phenyl-1H-pyrazole-4-carbonitrile,C10 H8 N4,L2,RP
FT_7.284_283.07884,unknown,C10 H14 N6 S2,L4.3,RP
FT_7.326_171.06273,Penicillic acid,C8 H10 O4,L2,RP
FT_7.344_127.05016,Thymine,C5 H6 N2 O2,L2,RP
FT_7.344_265.07950,alpha-Lapachone,C15 H14 O3,L2,RP
FT_7.567_223.09407,3-[(2-amino-9H-purin-6-yl)amino]propanoic acid,C8H10N6O2,L3.3,RP
FT_7.691_227.12538,2-[(3S)-1-(cyclohexylmethyl)pyrrolidin-3-yl]-3H-benzimidazole-5-carbonitrile,C19H24N4,L3.3,RP
FT_7.703_266.12479,N6-Me-dA,C11 H15 N5 O3,L2,RP
FT_7.836_223.09406,N-(2-amino-9H-purin-6-yl)alanine,C8H10N6O2,L3.3,RP
FT_8.058_227.12537,"(6R)-2-amino-6-(aminomethyl)-4-oxo-1,2,3,4a,6,7-hexahydropteridine-5-carbaldehyde",C8H14N6O2,L3.3,RP
FT_8.244_181.04702,4-(Methoxycarbonyl)benzoic acid,C9H8O4,L3.3,RP
FT_8.308_223.05768,"(3R,4S)-4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11 H12 O6,L3.3,RP
FT_8.313_238.14375,no name,C13 H19 N O3,L4.3,RP
FT_8.445_223.05767,Lignicol,C11H12O6,L3.3,RP
FT_8.459_225.10968,NP-019374,C10 H18 O4,L2,RP
FT_8.485_279.08397,"1,2-Diglycidyl phthalate",C14H14O6,L3.1,RP
FT_8.550_224.16450,no name,C13 H21 N O2,L4.3,RP
FT_8.743_316.17555,(5-methyl-3-isoxazolyl)[4-(5-propyl-2-pyrimidinyl)piperazino]methanone,C16 H21 N5 O2,L2,RP
FT_8.923_220.13320,no name,C13 H17 N O2,L4.3,RP
FT_9.043_195.06277,"(4R,5R)-4,5-dihydroxy-3-methoxy-5-methyl-cyclohex-2-en-1-one",C8H12O4,L3.3,RP
FT_9.352_183.10168,NP-018661,C8 H16 O3,L2,RP
FT_9.676_167.10667,6-Pentyl-2H-pyran-2-one,C10 H14 O2,L2,RP
FT_9.727_295.12883,no name,C14 H18 N2 O5,L4.3,RP
FT_9.785_279.08392,"3-(5,7-Dimethoxy-4-oxochromen-2-yl)propanoic acid",C14H14O6,L2,RP
FT_9.983_340.13913,5-Hydroxytryptophol glucuronide,C16H21NO7,L3.3,RP
FT_1.303_145.04952,Dimethyl maleate,C6H8O4,L3.3,RP
FT_1.349_505.14323,alpha-D-ManAc-(1-P-6)-alpha-D-ManAc,C16H29N2O14P,L3.3,RP
FT_1.786_448.16613,no name,C23H21N5O6,L4.3,RP
FT_10.754_121.10111,Cumene,C9H12,L3.1,RP
FT_10.898_121.10112,Cumene,C9H12,L3.1,RP
FT_10.900_107.08547,Ethylbenzene,C8H10,L3.1,RP
FT_11.593_121.10112,Cumene,C9H12,L3.1,RP
FT_12.554_121.10112,Cumene,C9H12,L3.1,RP
FT_12.555_107.08547,o-Xylene,C8H10,L3.1,RP
FT_16.355_240.19580,no name,C14 H25 N O2,L4.3,RP
FT_18.932_201.09101,1-Acetoxy-2-methylnaphthalene,C13H12O2,L3.3,RP
FT_9.676_107.08547,2-xylene,C8H10,L3.3,RP
FT_0.886_135.03210,no name,C3 H7 N2 O2 P,L4.3,RP
FT_0.888_442.87849,no name,C6 H9 N2 O9 P3 S3,L4.3,RP
FT_0.889_147.01385,no name,C2 H2 N4 O4,L4.3,RP
FT_0.889_151.00876,no name,C4 H8 O2 P2,L4.3,RP
FT_0.889_199.94041,no name,C2 H2 N O6 P S,L4.3,RP
FT_0.889_328.89801,no name,C2 H7 N2 O7 P3 S2,L4.3,RP
FT_0.889_346.90863,no name,C3 H11 N2 O5 P S5,L4.3,RP
FT_0.889_458.85599,no name,C5 H8 N4 O7 P2 S5,L4.3,RP
FT_0.889_460.85312,no name,no formula,L5,RP
FT_0.889_476.86690,no name,no formula,L5,RP
FT_0.890_144.98083,no name,C H6 O4 P2,L4.3,RP
FT_0.890_248.97677,no name,no formula,L5,RP
FT_0.890_330.89510,no name,no formula,L5,RP
FT_0.890_330.93105,no name,C3 H11 N2 O6 P S4,L4.3,RP
FT_0.891_110.00865,no name,C H3 N O5,L4.3,RP
FT_0.891_121.01643,no name,C2 H5 N2 O2 P,L4.3,RP
FT_0.891_132.99816,no name,C3 H5 N2 P S,L4.3,RP
FT_0.891_198.94006,no name,no formula,L5,RP
FT_0.891_200.06168,no name,C4 H14 N3 O2 P S,L4.3,RP
FT_0.891_214.98862,no name,C3 H7 N2 O5 P S,L4.3,RP
FT_0.891_230.96632,no name,C3 H7 N2 O4 P S2,L4.3,RP
FT_0.892_214.91758,no name,C2 H3 N2 O2 P S3,L4.3,RP
FT_0.892_218.98361,no name,C3 H8 O7 P2,L4.3,RP
FT_0.892_232.92815,no name,C6 H2 N O3 S3,L4.3,RP
FT_0.892_232.99927,no name,C7H6NO6S,L4.3,RP
FT_0.892_344.87556,no name,C6 H4 N O6 P2 S3,L4.3,RP
FT_0.893_182.96245,no name,C2 H3 N2 O4 P S,L4.3,RP
FT_0.895_143.99682,no name,C H5 N O5 S,L4.3,RP
FT_0.904_189.00708,no name,C4 H4 N4 O3 S,L4.3,RP
FT_0.969_288.92204,no name,C7 N2 O7 S2,L4.3,RP
FT_0.976_304.89561,no name,no formula,L5,RP
FT_0.979_226.95148,no name,no formula,L5,RP
FT_0.980_362.92643,no name,no formula,L5,RP
FT_0.980_430.91383,no name,no formula,L5,RP
FT_0.980_498.90137,no name,C9 H13 N2 O10 P3 S3,L4.3,RP
FT_0.980_90.97665,no name,C2 H3 P S,L4.3,RP
FT_0.981_242.92541,no name,C4 H2 O8 S2,L4.3,RP
FT_0.981_294.93894,no name,C8 H8 O4 P2 S2,L4.3,RP
FT_0.981_310.91292,no name,C4 H N4 O7 P3,L4.3,RP
FT_0.981_378.90035,no name,C6 H5 O13 P3,L4.3,RP
FT_0.981_446.88778,no name,C5 H9 N2 O12 P3 S2,L4.3,RP
FT_0.981_514.87531,no name,C10 H14 O10 P4 S3,L4.3,RP
FT_0.981_530.84929,no name,no formula,L5,RP
FT_0.981_566.88882,no name,C14 H8 N4 O11 P2 S3,L4.3,RP
FT_0.981_582.86283,no name,no formula,L5,RP
FT_0.981_598.83677,no name,no formula,L5,RP
FT_0.981_666.82426,no name,no formula,L5,RP
FT_0.981_682.79804,no name,no formula,L5,RP
FT_0.981_734.81146,no name,no formula,L5,RP
FT_0.981_750.78520,no name,no formula,L5,RP
FT_0.982_394.87427,no name,no formula,L5,RP
FT_0.982_462.86176,no name,no formula,L5,RP
FT_0.982_614.81064,na,no formula,L5,RP
FT_0.982_650.85025,no name,C10 H13 N4 O15 P3 S4,L4.3,RP
FT_0.982_718.83752,no name,C14 H18 N4 O10 P4 S6,L4.3,RP
FT_0.983_326.88687,no name,no formula,L5,RP
FT_0.983_410.84824,na,no formula,L5,RP
FT_0.983_478.83569,no name,no formula,L5,RP
FT_0.983_546.82330,no name,C7 H6 N2 O15 P4 S2,L4.3,RP
FT_0.983_630.78465,no name,C8 H12 O15 P6 S3,L4.3,RP
FT_0.984_342.86081,na,no formula,L5,RP
FT_0.985_426.82215,no name,no formula,L5,RP
FT_0.986_358.83480,no name,no formula,L5,RP
FT_0.987_442.79617,no name,no formula,L5,RP
FT_1.022_122.08113,Tromethamine,C4 H11 N O3,L3.1,RP
FT_1.037_198.12377,3-(1H-imidazol-5-yl)-2-(trimethylazaniumyl)propanoate,C9 H15 N3 O2,L3.3,RP
FT_1.040_257.17208,no name,C10 H20 N6 O2,L4.1,RP
FT_1.058_304.15048,Nicotianamine,C12 H21 N3 O6,L3.1,RP
FT_1.081_154.13391,no name,C8 H15 N3,L4.3,RP
FT_1.091_269.97637,no name,C6 H9 N O5 P2 S,L4.3,RP
FT_1.096_191.99907,no name,C5 H7 N O3 P2,L4.3,RP
FT_1.098_196.95448,no name,no formula,L5,RP
FT_1.098_274.93181,no name,C5 H9 N O2 P S4,L4.3,RP
FT_1.099_258.92490,no name,no formula,L5,RP
FT_1.100_198.09738,1-Guanidino-2-(4-imidazole)propionic acid,C7 H11 N5 O2,L3.3,RP
FT_1.103_381.07947,no name,no formula,L5,RP
FT_1.135_159.07646,4-Methylene-L-glutamine,C6 H10 N2 O3,L3.3,RP
FT_1.141_287.12717,"4-Hydroxy-3,5,4'-trimethoxystilbene",C17 H18 O4,L3.3,RP
FT_1.147_168.06892,5-Aminopentane-1-sulfonate,C5 H13 N O3 S,L3.3,RP
FT_1.147_335.13059,2-(3-Quinoxalin-2-ylphenyl)quinoxaline,C22 H14 N4,L3.3,RP
FT_1.155_335.07393,no name,C9 H19 O11 P,L4.3,RP
FT_1.174_398.12947,alpha-D-GlcNAc-(1->4)-D-GlcA,C14 H23 N O12,L3.3,RP
FT_1.176_198.09727,no name,C6 H15 N O6,L4.1,RP
FT_1.177_271.16864,"3-Hydroxy-estra-1,3,5(10)-trien-16-one",C18 H22 O2,L3.3,RP
FT_1.179_180.08673,D-Mannosamine,C6 H13 N O5,L3.1,RP
FT_1.180_342.13304,no name,C12 H24 N O8 P,L4.3,RP
FT_1.182_331.11710,no name,C11 H18 N6 O4 S,L4.3,RP
FT_1.187_229.12164,4-(3-Hydroxy-3-phenylpropyl)phenol,C15 H16 O2,L3.3,RP
FT_1.188_184.06383,Choline sulfate,C5 H13 N O4 S,L3.1,RP
FT_1.188_287.16354,no name,C11 H22 N6 O S,L4.3,RP
FT_1.190_536.21888,no name,C19 H37 N O16,L4.3,RP
FT_1.210_275.19660,(2S)-6-(ethylamino)-2-[(2-methylpropan-2-yl)oxycarbonylamino]hexanoic acid,C13 H26 N2 O4,L3.3,RP
FT_1.215_464.10688,2-acetamido-2-deoxy-3-O-(6-O-sulfonato-beta-D-glucosyl)-beta-D-galactose,C14 H25 N O14 S,L3.3,RP
FT_1.217_285.18429,"1-Methylestra-1,3,5(10),6-tetraene-3,17beta-diol",C19 H24 O2,L3.3,RP
FT_1.222_313.14287,N-(2-methoxyphenyl)-N~3~-9H-purin-6-yl-beta-alaninamide,C15 H16 N6 O2,L3.3,RP
FT_1.223_448.11210,no name,no formula,L5,RP
FT_1.224_363.16189,"2-[(5,7-dihydroxy-4,7-dimethyl-4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-1-yl)oxy]-6-(hydroxymethyl)tetrahydropyran-3,4,5-triol",C16 H26 O9,L3.3,RP
FT_1.243_227.14244,no name,C10 H19 N4 P,L4.3,RP
FT_1.252_198.08906,"Methyl 5-(but-3-en-1-yl)amino-1,3,4-oxadiazole-2-carboxylate",C8 H11 N3 O3,L3.3,RP
FT_1.257_324.16538,"3,8-bis(2-methoxyethyl)-1-methyl-7,8-dihydro-1H-imidazo[2,1-f]purine-2,4(3H,6H)-dione",C14 H21 N5 O4,L3.3,RP
FT_1.259_198.12371,3-(1H-imidazol-5-yl)-2-(trimethylazaniumyl)propanoate,C9 H15 N3 O2,L3.3,RP
FT_1.262_380.20290,no name,C15 H29 N3 O8,L4.3,RP
FT_1.264_374.12946,no name,C12 H23 N O12,L4.3,RP
FT_1.274_440.10703,no name,C12 H25 N O14 S,L4.1,RP
FT_1.289_205.11826,no name,C8 H16 N2 O4,L4.1,RP
FT_1.300_189.12341,2-[(2-Amino-3-methylbutanoyl)amino]propanoic acid,C8 H16 N2 O3,L3.3,RP
FT_1.302_189.12341,2-acetamidohex-4-enoic acid,C8 H13 N O3,L3.3,RP
FT_1.308_97.02841,"4-Cyclopentene-1,3-dione",C5 H4 O2,L3.3,RP
FT_1.309_85.02847,2(5H)-Furanone,C4 H4 O2,L3.1,RP
FT_1.310_180.08674,"(3S)-2-hydroxy-2,3-dimethylbutanedioic acid",C6 H10 O5,L3.3,RP
FT_1.310_325.11303,"3,6-Anhydro-l-lactose",C12 H20 O10,L3.3,RP
FT_1.310_702.26646,Citbismine C,C37 H36 N2 O11,L3.3,RP
FT_1.313_734.15675,no name,C29 H31 N7 O12 S2,L4.3,RP
FT_1.313_738.15172,no name,no formula,L5,RP
FT_1.314_370.08322,no name,C11 H20 N3 O7 P S,L4.3,RP
FT_1.323_438.04617,no name,C11 H22 N O11 P3,L4.3,RP
FT_1.325_446.04676,no name,C10 H17 N5 O11 P2,L4.3,RP
FT_1.339_427.07594,no name,C11 H24 O13 P2,L4.3,RP
FT_1.340_471.18238,O-(3-O-beta-D-galactosyl-N-acetyl-alpha-D-galactosaminyl)-L-serine,C17 H30 N2 O13,L3.3,RP
FT_1.350_186.07614,no name,C8 H11 N O4,L4.1,RP
FT_1.359_198.07952,no name,C6 H15 N O4 S,L4.1,RP
FT_1.360_350.19235,no name,C14 H27 N3 O7,L4.3,RP
FT_1.375_276.11905,Gln-Glu,C10 H17 N3 O6,L3.1,RP
FT_1.378_288.10135,no name,C11 H17 N3 O4 S,L4.3,RP
FT_1.386_218.14992,(2S)-2-amino-6-[[(2S)-2-aminopropanoyl]amino]hexanoic acid,C9 H19 N3 O3,L3.3,RP
FT_1.387_353.03927,no name,C8 H18 O11 P2,L4.3,RP
FT_1.387_364.00941,no name,no formula,L5,RP
FT_1.388_286.11329,2-O-alpha-mannosyl-D-glycerate,C9 H16 O9,L3.3,RP
FT_1.388_371.01204,"D-Glycero-D-manno-heptose 1,7-bisphosphate",C7 H16 O13 P2,L3.3,RP
FT_1.390_366.18722,2'-N-Acetylparomamine,C14 H27 N3 O8,L3.1,RP
FT_1.396_196.10019,Ethyldimethyl(3-sulfopropyl)azanium,C7 H17 N O3 S,L3.3,RP
FT_1.404_425.19671,no name,C18 H28 N6 O4 S,L4.1,RP
FT_1.405_190.10742,N-lactoyl-Valine,C8 H15 N O4,L3.3,RP
FT_1.406_684.25587,no name,C24 H45 N O21,L4.3,RP
FT_1.410_487.16575,no name,C18 H30 O15,L4.3,RP
FT_1.410_851.26419,no name,no formula,L5,RP
FT_1.411_846.30863,no name,C30 H55 N O26,L4.3,RP
FT_1.414_325.11299,no name,C13 H16 N4 O6,L4.3,RP
FT_1.416_275.12378,no name,C7H14N8O4,L4.3,RP
FT_1.417_97.02840,Protoanemonin,C5 H4 O2,L3.1,RP
FT_1.418_74.09646,Diethamine,C4 H11 N,L3.3,RP
FT_1.419_244.11139,S-methylergothioneine,C10 H17 N3 O2 S,L3.3,RP
FT_1.421_176.10298,L-Citrulline,C6 H13 N3 O3,L3.1,RP
FT_1.421_189.12346,N6-Acetyl-L-lysine,C8 H16 N2 O3,L3.1,RP
FT_1.421_462.14561,no name,C16 H23 N5 O11,L4.3,RP
FT_1.425_175.10771,N-acetylornithine,C7 H14 N2 O3,L3.1,RP
FT_1.425_404.17774,no name,C15 H25 N5 O8,L4.1,RP
FT_1.428_448.16617,no name,C15 H29 N O14,L4.3,RP
FT_1.429_190.11850,L-Homocitrulline,C7 H15 N3 O3,L3.1,RP
FT_1.523_190.11863,L-Homocitrulline,C7 H15 N3 O3,L3.1,RP
FT_1.546_236.14923,no name,C10 H21 N O5,L4.1,RP
FT_1.700_249.10806,Glu-Thr,C9 H16 N2 O6,L3.1,RP
FT_1.700_340.12391,no name,C13 H17 N5 O6,L4.3,RP
FT_1.720_248.16049,H-Lys-Thr-OH,C10 H21 N3 O4,L3.1,RP
FT_1.720_462.18184,3-cis-Hydroxyglipizide,C21 H27 N5 O5 S,L3.3,RP
FT_1.769_217.06825,no name,C7 H10 N3 O5,L4.3,RP
FT_1.774_72.08080,3-Buten-1-amine,C4 H9 N,L3.1,RP
FT_1.778_548.21876,beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->6)-D-galactitol,C20 H37 N O16,L3.3,RP
FT_1.784_174.08735,2-Oxoarginine,C6 H11 N3 O3,L3.3,RP
FT_1.790_515.09219,no name,C14 H28 O16 P2,L4.3,RP
FT_1.809_232.12923,l-Alanyl-d-alanyl-l-alanine,C9 H17 N3 O4,L3.3,RP
FT_1.826_199.14414,(-)-Slaframine,C10 H18 N2 O2,L3.3,RP
FT_1.909_511.16356,Piperenol A triacetate,C27 H26 O10,L3.3,RP
FT_1.912_217.06825,no name,C7 H10 N3 O5,L4.3,RP
FT_1.988_684.25597,no name,C24 H45 N O21,L4.3,RP
FT_10.186_171.10172,7-methyl-3-oxooct-6-enoic acid,C9 H14 O3,L3.3,RP
FT_10.254_310.12853,Sporovexin C,C15 H19 N O6,L3.3,RP
FT_10.540_204.15939,"(2S,8R)-2-amino-8-hydroxydecanoic acid",C10 H21 N O3,L3.3,RP
FT_10.757_149.09608,"2-Methyl-5-prop-1-en-2-ylcyclohexa-2,4-dien-1-one",C10 H12 O,L3.3,RP
FT_10.758_167.10667,Camphorquinone,C10 H14 O2,L3.3,RP
FT_10.790_239.05499,Benzoylmalic acid,C11 H10 O6,L3.1,RP
FT_10.898_149.09608,"2-Methyl-5-prop-1-en-2-ylcyclohexa-2,4-dien-1-one",C10 H12 O,L3.3,RP
FT_10.898_167.10667,Camphenal,C10 H14 O2,L3.3,RP
