FeatureID,estimate,stderror,df,tvalue,lower,upper,pvalue,padj,Name,Formula,Annotation_level,env_sig,LC_mode
FT_13.290_167.03389,-0.280567285,0.090971833,25.40104521,-3.084111587,-0.467777402,-0.093357167,0.004873211,0.030880969,5-Formylsalicylic acid,C8H6O4,L2.3,moisture,RP
FT_13.404_253.10703,-0.190512803,0.067509723,25.22458452,-2.822005426,-0.329488937,-0.05153667,0.009175182,0.049309897,"(2S)-7-hydroxy-8-(2-hydroxyethyl)-5-methoxy-2-methyl-2,3-dihydrochromen-4-one",C13H16O5,L2.1,moisture,RP
FT_14.159_235.09648,-0.221165427,0.067073468,25.52537058,-3.297360848,-0.359161794,-0.08316906,0.00287208,0.022656948,NP-020206,C11H16O4,L2.1,moisture,RP
FT_15.256_237.18487,-0.254080072,0.082002241,25.74729313,-3.098452793,-0.422718646,-0.085441497,0.004660437,0.02974265,5-Nonylresorcinol,C15H24O2,L2.3,moisture,RP
FT_15.349_249.11213,0.089328201,0.031314357,25.22798721,2.852627674,0.024864616,0.153791786,0.008534161,0.046407657,NP-021018,C12H18O4,L2.1,moisture,RP
FT_15.452_179.07028,-0.194375562,0.062096453,25.55419055,-3.130220026,-0.322125115,-0.066626009,0.004335286,0.028957972,NP-012042,C10H12O4,L2.1,moisture,RP
FT_15.459_323.14898,-0.12978683,0.042175482,25.28217048,-3.077305159,-0.216599731,-0.042973928,0.004971059,0.03107757,Aculeatusquinone C,C17H22O6,L2.2,moisture,RP
FT_15.645_177.05460,-0.207100122,0.065225153,26.07402156,-3.175157313,-0.341153823,-0.073046422,0.003823013,0.026609715,4-Methylumbelliferone hydrate,C10H8O3,L2.1,moisture,RP
FT_16.355_240.19580,-0.296963888,0.106226143,28,-2.795581955,-0.514558277,-0.079369498,0.009253076,0.049439401,no name,C14H25NO2,L3.2,moisture,RP
FT_16.507_315.19550,0.895199285,0.312734184,25.18845307,2.86249259,0.251355433,1.539043136,0.00834455,0.045874041,Kahweol,C20H26O3,L2.1,moisture,RP
FT_16.666_291.15902,0.125226023,0.037785218,28,3.31415375,0.047826512,0.202625534,0.00254658,0.020895594,Laurenoniolide,C17H22O4,L2.3,moisture,RP
FT_16.762_297.13332,-0.217626193,0.069720685,25.77315994,-3.121400695,-0.361000528,-0.074251859,0.004402405,0.028957972,Deoxynivalenol,C15H20O6,L2.2,moisture,RP
FT_16.772_353.23006,0.859044669,0.238994688,26.07864267,3.594409055,0.367856145,1.350233194,0.001329112,0.012723482,"(ent-6alpha,7alpha,16alphaH)-6,7,17-Trihydroxy-19-kauranoic acid",C20H32O5,L2.3,moisture,RP
FT_16.867_481.14965,-0.203127327,0.071001609,25.19414013,-2.860883433,-0.349300763,-0.056953891,0.008375338,0.045874041,no name,C26H24O9,L3.3,moisture,RP
FT_17.364_315.19562,1.199291242,0.380478772,24.90653967,3.15205822,0.415531417,1.983051066,0.004190154,0.028314349,"(4aS,10aR,11bR)-4,4,8,11b-tetramethyl-1,2,3,4a,5,7,10a,11-octahydronaphtho[2,1-f][1]benzofuran-6,9-dione",C20H26O3,L2.3,moisture,RP
FT_17.727_319.22678,0.807328849,0.252862212,25.06799845,3.19276195,0.286620994,1.328036703,0.003774313,0.026609715,NP-014287,C18H32O3,L2.1,moisture,RP
FT_17.735_321.16969,-0.208089249,0.072478844,25.40191613,-2.871034339,-0.357242554,-0.058935943,0.008137585,0.045600247,Pseudoalteromone A,C18H24O5,L2.3,moisture,RP
FT_17.838_514.31653,0.514835206,0.133524049,25.35590176,3.855748912,0.240032868,0.789637544,7.03E-04,0.007831623,no name,C24H43N5O7,L3.3,moisture,RP
FT_18.213_277.21623,0.501517026,0.153156555,26.53994671,3.274538448,0.18701065,0.816023403,0.002942553,0.022916999,"1,4a,7-Trimethyl-2,3,4,4b,5,6,7,9,10,10a-decahydrophenanthrene-1-carboxylic acid",C18H28O2,L2.3,moisture,RP
FT_18.214_285.24245,0.833803739,0.240545084,25.53267487,3.466309618,0.338915407,1.328692071,0.001880964,0.01662121,2-Methoxy-6Z-hexadecenoic acid,C17H32O3,L2.3,moisture,RP
FT_18.816_279.23187,0.478894058,0.128250982,25.23817218,3.734038135,0.214882551,0.742905565,9.66E-04,0.010091055,Pinolenic acid,C18H30O2,L2.1,moisture,RP
FT_18.817_261.22130,0.964974546,0.190007914,25.52565732,5.078601861,0.57405414,1.355894952,2.87E-05,6.62E-04,no name,C18H28O,L3.2,moisture,RP
FT_18.821_297.24243,0.642789768,0.155625026,25.8623822,4.130375328,0.322815079,0.962764456,3.35E-04,0.004340692,NP-008993,C18H34O4,L2.1,moisture,RP
FT_19.446_315.25299,0.328982561,0.116093974,25.57441764,2.833760864,0.090154557,0.567810564,0.008856408,0.047876702,9-hydroperoxy-10E-octadecenoate,C18H34O4,L2.3,moisture,RP
FT_19.829_335.21962,0.30417507,0.104988703,25.36561341,2.897217138,0.088104711,0.52024543,0.007652318,0.043680004,NP-002322,C18H32O4,L2.1,moisture,RP
FT_2.047_204.12298,0.972379919,0.176884742,26.02304011,5.497251521,0.608803791,1.335956048,9.07E-06,3.33E-04,O-Acetyl-L-carnitine,C9H17NO4,L1,moisture,RP
FT_2.050_247.12881,-0.445237843,0.12650735,26.09540064,-3.519462258,-0.705231164,-0.185244522,0.001608289,0.014842339,Glutamylvaline,C10H18N2O5,L2.2,moisture,RP
FT_2.305_673.21659,-1.054071778,0.133181566,25.71862622,-7.914547115,-1.32797625,-0.780167307,2.34E-08,5.37E-06,no name,C26H40O20,L3.3,moisture,RP
FT_2.382_126.05492,-0.401327509,0.071597725,25.36287886,-5.605310906,-0.548678881,-0.253976137,7.47E-06,3.27E-04,5-Hydroxy-2-methoxypyridine,C6H7NO2,L2.3,moisture,RP
FT_2.389_184.05804,-0.266523915,0.061554402,25.29466569,-4.329892036,-0.393222738,-0.139825093,2.07E-04,0.002840296,"7-methylpyrimido[4,5-d]pyrimidin-4-amine",C7H7N5,L2.1,moisture,RP
FT_2.524_430.15560,-0.860189382,0.103080789,25.56648089,-8.344807931,-1.072249978,-0.648128786,9.06E-09,3.45E-06,O-(2-O-Mannopyranosyl-mannopyranosyl)serine,C15H27NO13,L2.2,moisture,RP
FT_2.525_435.11107,-0.867021521,0.105093866,25.56394299,-8.249972636,-1.083224539,-0.650818504,1.13E-08,3.45E-06,no name,C17H22O13,L3.3,moisture,RP
FT_2.880_158.15396,0.19098881,0.049476752,25.42024271,3.860172746,0.089174882,0.292802739,6.93E-04,0.007831623,"2,2,6,6-Tetramethyl-4-piperidinol",C9H19NO,L2.1,moisture,RP
FT_20.136_301.21621,0.764304447,0.210876775,24.93068173,3.624412633,0.32993436,1.198674534,0.001294828,0.012621955,"(2E)-5-[(8aS)-2,5,5,8a-tetramethyl-3-oxo-3,4,4a,5,6,7,8,8a-octahydronaphthalen-1-yl]-3-methylpent-2-enoic acid",C20H30O3,L2.1,moisture,RP
FT_3.022_317.14564,-1.388014776,0.189090266,25.92882495,-7.340487711,-1.776747319,-0.999282233,8.68E-08,1.33E-05,2-[(2-Acetamido-5-amino-5-oxopentanoyl)amino]-5-amino-5-oxopentanoic acid,C12H20N4O6,L2.2,moisture,RP
FT_3.279_202.17965,0.165138344,0.048481374,25.38489495,3.406222414,0.065365794,0.264910894,0.002199743,0.018546062,"1-(2-Hydroxyethyl)-2,2,6,6-tetramethyl-4-hydroxypiperidine",C11H23NO2,L2.3,moisture,RP
FT_3.589_132.10187,0.495219145,0.135814976,25.63602667,3.64627789,0.215854428,0.774583862,0.001186531,0.011852859,Isoleucine,C6H13NO2,L2.1,moisture,RP
FT_3.668_182.08119,0.35128422,0.121492064,25.63527483,2.891417005,0.101380666,0.601187773,0.007710896,0.043742677,L-Tyrosine,C9H11NO3,L1,moisture,RP
FT_3.874_132.10187,0.446232454,0.129896968,25.59251841,3.435279976,0.179018351,0.713446558,0.002029151,0.017759899,D-Leucine,C6H13NO2,L1,moisture,RP
FT_5.744_176.05536,-0.683309931,0.147677116,25.67788036,-4.627053603,-0.987050032,-0.37956983,9.24E-05,0.001435338,2-Amino-3-oxohexanedioic acid,C6H9NO5,L2.2,moisture,RP
FT_5.996_504.19243,0.632769716,0.094975456,25.41912517,6.662455155,0.437327512,0.82821192,5.11E-07,5.87E-05,beta-D-Galactopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->6)-D-mannose,C18H33NO15,L2.2,moisture,RP
FT_5.996_509.14786,0.584128562,0.101656244,25.47018529,5.746115944,0.374959408,0.793297715,5.12E-06,2.62E-04,no name,C16H24N6O13,L3.3,moisture,RP
FT_6.781_279.10096,-1.590132338,0.293580815,25.77774061,-5.416336008,-2.193849683,-0.986414993,1.16E-05,3.92E-04,gamma-Glutamylmethionine,C10H18N2O5S,L2.2,moisture,RP
FT_6.817_282.08332,0.54366987,0.137251558,26.32685174,3.961119855,0.261715627,0.825624113,5.08E-04,0.006398223,Guanosine dialdehyde,C10H11N5O5,L2.3,moisture,RP
FT_6.845_166.08628,0.417792102,0.12230048,25.57623213,3.4161117,0.166196986,0.669387219,0.002130621,0.018472083,D-Phenylalanine,C9H11NO2,L1,moisture,RP
FT_6.857_247.12883,-1.270917444,0.227348465,26.06067097,-5.590173846,-1.738185962,-0.803648926,7.07E-06,3.27E-04,Glutamylvaline,C10H18N2O5,L2.3,moisture,RP
FT_7.372_192.10192,1.550378713,0.432157682,28,3.58753015,0.665143831,2.435613596,0.001254578,0.012397393,"Acetic acid, 2-(p-(allylamino)phenyl)-",C11H13NO2,L2.3,moisture,RP
FT_7.543_311.12383,-1.613510665,0.25495956,25.93554968,-6.328496431,-2.137650938,-1.089370392,1.07E-06,8.22E-05,Glu-Tyr,C14H18N2O6,L2.2,moisture,RP
FT_7.633_302.19623,0.202199985,0.059630385,25.95563164,3.39088849,0.079617776,0.324782194,0.002239076,0.018546062,Floridinine,C15H27NO5,L2.2,moisture,RP
FT_7.650_115.03892,0.201073118,0.061661502,25.68306714,3.260918284,0.074249919,0.327896317,0.003128032,0.023124826,3-Methoxy-2(5h)-furanone,C5H6O3,L2.3,moisture,RP
